User ID,TransportMode
U1,subway
U2,taxi
U3,subway
U4,subway
U5,subway
U6,subway
U7,subway
U8,taxi
U9,bicycle
U10,bus
U11,taxi
U12,subway
U13,subway
U14,bicycle
U15,bus
U16,bus
U17,bus
U18,taxi
U19,taxi
U20,taxi
U21,bicycle
U22,taxi
U23,subway
U24,taxi
U25,bus
U26,subway
U27,bus
U28,bicycle
U29,subway
U30,subway
U31,bus
U32,taxi
U33,subway
U34,subway
U35,bus
U36,subway
U37,subway
U38,subway
U39,bicycle
U40,subway
U41,bus
U42,subway
U43,subway
U44,bus
U45,subway
U46,subway
U47,bus
U48,bus
U49,bus
U50,bus
U51,subway
U52,subway
U53,bicycle
U54,bus
U55,bus
U56,bus
U57,subway
U58,bus
U59,subway
U60,bus
U61,bus
U62,bus
U63,subway
U64,bus
U65,bus
U66,bus
U67,taxi
U68,bus
U69,taxi
U70,bus
U71,bicycle
U72,subway
U73,bicycle
U74,subway
U75,taxi
U76,bus
U77,bus
U78,bus
U79,bus
U80,bus
U81,bus
U82,subway
U83,bus
U84,subway
U85,subway
U86,bus
U87,subway
U88,bus
U89,subway
U90,bicycle
U91,bus
U92,subway
U93,bus
U94,taxi
U95,bus
U96,bus
U97,subway
U98,bus
U99,taxi
U100,bus
U101,subway
U102,bus
U103,taxi
U104,bicycle
U105,bus
U106,subway
U107,subway
U108,subway
U109,bus
U110,bicycle
U111,subway
U112,taxi
U113,subway
U114,bus
U115,taxi
U116,bus
U117,taxi
U118,subway
U119,taxi
U120,subway
U121,taxi
U122,subway
U123,bicycle
U124,subway
U125,subway
U126,subway
U127,bus
U128,bus
U129,subway
U130,bus
U131,subway
U132,subway
U133,bus
U134,bus
U135,subway
U136,subway
U137,subway
U138,subway
U139,subway
U140,subway
U141,taxi
U142,bus
U143,subway
U144,taxi
U145,taxi
U146,taxi
U147,bus
U148,bicycle
U149,taxi
U150,bicycle
U151,bus
U152,taxi
U153,bus
U154,subway
U155,bus
U156,taxi
U157,taxi
U158,subway
U159,subway
U160,bus
U161,subway
U162,subway
U163,taxi
U164,taxi
U165,bicycle
U166,taxi
U167,bus
U168,bus
U169,taxi
U170,bus
U171,subway
U172,bus
U173,bus
U174,bus
U175,taxi
U176,bus
U177,bus
U178,bicycle
U179,taxi
U180,bus
U181,bus
U182,subway
U183,subway
U184,bus
U185,bicycle
U186,subway
U187,subway
U188,subway
U189,taxi
U190,bus
U191,bus
U192,bus
U193,bus
U194,bicycle
U195,taxi
U196,subway
U197,bus
U198,bus
U199,bus
U200,subway
U201,bus
U202,subway
U203,bus
U204,bus
U205,bus
U206,bus
U207,subway
U208,subway
U209,subway
U210,taxi
U211,bicycle
U212,bus
U213,subway
U214,bus
U215,bus
U216,taxi
U217,bus
U218,bus
U219,subway
U220,taxi
U221,subway
U222,taxi
U223,bus
U224,taxi
U225,bus
U226,bicycle
U227,subway
U228,bus
U229,bicycle
U230,taxi
U231,bus
U232,bus
U233,subway
U234,bus
U235,bus
U236,subway
U237,bus
U238,subway
U239,bus
U240,subway
U241,taxi
U242,bus
U243,subway
U244,bus
U245,taxi
U246,bus
U247,subway
U248,bus
U249,bus
U250,subway
U251,bus
U252,bicycle
U253,taxi
U254,taxi
U255,bicycle
U256,bus
U257,subway
U258,subway
U259,bicycle
U260,bus
U261,bus
U262,bus
U263,bus
U264,bicycle
U265,subway
U266,taxi
U267,bus
U268,subway
U269,bus
U270,subway
U271,bicycle
U272,taxi
U273,bus
U274,bicycle
U275,bus
U276,bicycle
U277,bicycle
U278,taxi
U279,subway
U280,taxi
U281,bus
U282,taxi
U283,subway
U284,bus
U285,bus
U286,bus
U287,bicycle
U288,subway
U289,subway
U290,subway
U291,bus
U292,bus
U293,taxi
U294,bus
U295,subway
U296,bus
U297,bus
U298,taxi
U299,bicycle
U300,bicycle
U301,bicycle
U302,taxi
U303,bus
U304,bus
U305,subway
U306,bus
U307,bus
U308,bus
U309,taxi
U310,bus
U311,taxi
U312,bus
U313,bus
U314,bus
U315,subway
U316,bus
U317,subway
U318,subway
U319,taxi
U320,taxi
U321,bus
U322,bus
U323,bus
U324,bus
U325,bus
U326,subway
U327,subway
U328,subway
U329,bus
U330,bus
U331,bus
U332,taxi
U333,bus
U334,subway
U335,taxi
U336,taxi
U337,bus
U338,bus
U339,subway
U340,bus
U341,bus
U342,bus
U343,subway
U344,bus
U345,taxi
U346,bus
U347,subway
U348,bus
U349,subway
U350,bicycle
U351,subway
U352,bus
U353,subway
U354,subway
U355,subway
U356,subway
U357,bus
U358,bus
U359,bus
U360,bicycle
U361,bus
U362,bicycle
U363,subway
U364,subway
U365,taxi
U366,subway
U367,taxi
U368,bus
U369,bicycle
U370,subway
U371,subway
U372,bus
U373,taxi
U374,subway
U375,bus
U376,bus
U377,taxi
U378,bicycle
U379,subway
U380,subway
U381,taxi
U382,subway
U383,bicycle
U384,subway
U385,taxi
U386,bicycle
U387,taxi
U388,bus
U389,subway
U390,bus
U391,bus
U392,subway
U393,bus
U394,taxi
U395,bus
U396,bicycle
U397,bus
U398,bus
U399,bus
U400,bus
U401,subway
U402,bicycle
U403,bus
U404,bicycle
U405,taxi
U406,subway
U407,bus
U408,bus
U409,subway
U410,bus
U411,bus
U412,subway
U413,bus
U414,bus
U415,bus
U416,bus
U417,bus
U418,bus
U419,bus
U420,subway
U421,bicycle
U422,bicycle
U423,subway
U424,bus
U425,subway
U426,subway
U427,bicycle
U428,bus
U429,taxi
U430,bus
U431,bus
U432,subway
U433,bus
U434,subway
U435,subway
U436,subway
U437,subway
U438,bus
U439,taxi
U440,subway
U441,bus
U442,taxi
U443,bicycle
U444,bus
U445,bus
U446,bus
U447,taxi
U448,bicycle
U449,bicycle
U450,bicycle
U451,bus
U452,bicycle
U453,bus
U454,bus
U455,bicycle
U456,bus
U457,subway
U458,bus
U459,taxi
U460,taxi
U461,bus
U462,bus
U463,bus
U464,taxi
U465,bus
U466,bus
U467,subway
U468,bus
U469,taxi
U470,bus
U471,subway
U472,bicycle
U473,subway
U474,taxi
U475,bicycle
U476,taxi
U477,subway
U478,bicycle
U479,bicycle
U480,subway
U481,bus
U482,bus
U483,bus
U484,subway
U485,bus
U486,subway
U487,bus
U488,taxi
U489,bicycle
U490,subway
U491,bus
U492,subway
U493,taxi
U494,subway
U495,subway
U496,bus
U497,subway
U498,subway
U499,bus
U500,subway
U501,bus
U502,bus
U503,subway
U504,taxi
U505,bus
U506,bicycle
U507,taxi
U508,bus
U509,bus
U510,subway
U511,bus
U512,bus
U513,taxi
U514,subway
U515,subway
U516,taxi
U517,bus
U518,bus
U519,subway
U520,taxi
U521,subway
U522,bus
U523,bus
U524,taxi
U525,bus
U526,bus
U527,subway
U528,bicycle
U529,bus
U530,subway
U531,bus
U532,bus
U533,subway
U534,bus
U535,bus
U536,bus
U537,subway
U538,subway
U539,subway
U540,bicycle
U541,bus
U542,subway
U543,subway
U544,subway
U545,bicycle
U546,bus
U547,subway
U548,taxi
U549,subway
U550,bus
U551,taxi
U552,bus
U553,subway
U554,subway
U555,subway
U556,bus
U557,bus
U558,subway
U559,subway
U560,taxi
U561,subway
U562,bus
U563,bicycle
U564,taxi
U565,subway
U566,bicycle
U567,subway
U568,bicycle
U569,taxi
U570,bicycle
U571,bicycle
U572,bus
U573,bus
U574,bus
U575,bicycle
U576,bus
U577,bus
U578,taxi
U579,subway
U580,bicycle
U581,bus
U582,subway
U583,subway
U584,bus
U585,subway
U586,bus
U587,bus
U588,bus
U589,bus
U590,bicycle
U591,taxi
U592,taxi
U593,subway
U594,subway
U595,bus
U596,bicycle
U597,bus
U598,subway
U599,bus
U600,bicycle
U601,bus
U602,bus
U603,subway
U604,bus
U605,subway
U606,subway
U607,bus
U608,bus
U609,subway
U610,bus
U611,subway
U612,bus
U613,bicycle
U614,bus
U615,bus
U616,bus
U617,subway
U618,subway
U619,bus
U620,bicycle
U621,bus
U622,taxi
U623,subway
U624,taxi
U625,bicycle
U626,taxi
U627,taxi
U628,subway
U629,bus
U630,bus
U631,bus
U632,bus
U633,subway
U634,subway
U635,taxi
U636,bicycle
U637,bus
U638,bus
U639,subway
U640,taxi
U641,taxi
U642,bicycle
U643,bicycle
U644,bus
U645,bus
U646,bus
U647,subway
U648,subway
U649,taxi
U650,bus
U651,subway
U652,subway
U653,bus
U654,bus
U655,taxi
U656,bus
U657,subway
U658,bus
U659,subway
U660,bicycle
U661,subway
U662,taxi
U663,bus
U664,bus
U665,subway
U666,bus
U667,subway
U668,bus
U669,taxi
U670,subway
U671,bus
U672,subway
U673,subway
U674,bus
U675,taxi
U676,subway
U677,taxi
U678,subway
U679,bus
U680,subway
U681,subway
U682,bus
U683,bus
U684,taxi
U685,bus
U686,subway
U687,taxi
U688,subway
U689,bicycle
U690,bus
U691,taxi
U692,bus
U693,subway
U694,subway
U695,subway
U696,bus
U697,bus
U698,bus
U699,subway
U700,taxi
U701,bus
U702,bus
U703,bus
U704,bus
U705,bus
U706,bus
U707,bus
U708,bus
U709,bus
U710,taxi
U711,bus
U712,subway
U713,taxi
U714,subway
U715,bus
U716,bus
U717,subway
U718,subway
U719,bus
U720,taxi
U721,taxi
U722,bicycle
U723,bus
U724,taxi
U725,bus
U726,taxi
U727,subway
U728,bicycle
U729,taxi
U730,bus
U731,subway
U732,bus
U733,bus
U734,bus
U735,subway
U736,subway
U737,bus
U738,subway
U739,bus
U740,bus
U741,bus
U742,bicycle
U743,bus
U744,bus
U745,subway
U746,bus
U747,taxi
U748,taxi
U749,bicycle
U750,subway
U751,bus
U752,subway
U753,bicycle
U754,subway
U755,bus
U756,taxi
U757,bus
U758,bus
U759,bus
U760,bus
U761,taxi
U762,subway
U763,subway
U764,bus
U765,taxi
U766,bicycle
U767,bicycle
U768,bus
U769,bicycle
U770,taxi
U771,subway
U772,bus
U773,bus
U774,bus
U775,bicycle
U776,bus
U777,subway
U778,subway
U779,taxi
U780,taxi
U781,bus
U782,subway
U783,taxi
U784,taxi
U785,bus
U786,bus
U787,bus
U788,bus
U789,subway
U790,bus
U791,subway
U792,bus
U793,subway
U794,bus
U795,bicycle
U796,bicycle
U797,bus
U798,bus
U799,bus
U800,subway
U801,bus
U802,subway
U803,subway
U804,bus
U805,taxi
U806,taxi
U807,bicycle
U808,bus
U809,taxi
U810,taxi
U811,bus
U812,subway
U813,bus
U814,taxi
U815,bus
U816,bus
U817,bus
U818,subway
U819,taxi
U820,subway
U821,subway
U822,bus
U823,subway
U824,bus
U825,bus
U826,bicycle
U827,bus
U828,taxi
U829,taxi
U830,bus
U831,subway
U832,bus
U833,taxi
U834,subway
U835,taxi
U836,subway
U837,bicycle
U838,bus
U839,bus
U840,taxi
U841,subway
U842,bus
U843,bus
U844,taxi
U845,subway
U846,taxi
U847,taxi
U848,subway
U849,bus
U850,subway
U851,taxi
U852,taxi
U853,bus
U854,subway
U855,bicycle
U856,taxi
U857,bus
U858,subway
U859,bus
U860,bus
U861,bicycle
U862,bicycle
U863,bus
U864,bus
U865,subway
U866,bicycle
U867,bus
U868,bus
U869,taxi
U870,subway
U871,taxi
U872,bus
U873,subway
U874,bus
U875,bus
U876,subway
U877,subway
U878,bus
U879,bicycle
U880,taxi
U881,taxi
U882,bus
U883,subway
U884,taxi
U885,taxi
U886,bus
U887,taxi
U888,taxi
U889,bus
U890,taxi
U891,subway
U892,subway
U893,subway
U894,subway
U895,subway
U896,subway
U897,taxi
U898,subway
U899,subway
U900,subway
U901,taxi
U902,bus
U903,bus
U904,bus
U905,taxi
U906,bicycle
U907,bus
U908,bus
U909,bus
U910,bus
U911,taxi
U912,bus
U913,bicycle
U914,bus
U915,taxi
U916,subway
U917,bus
U918,bus
U919,taxi
U920,bus
U921,subway
U922,subway
U923,subway
U924,bicycle
U925,subway
U926,taxi
U927,taxi
U928,bus
U929,taxi
U930,bus
U931,bicycle
U932,bus
U933,bus
U934,bus
U935,subway
U936,taxi
U937,bus
U938,bus
U939,bus
U940,taxi
U941,bus
U942,bus
U943,bus
U944,taxi
U945,bus
U946,bus
U947,taxi
U948,bus
U949,taxi
U950,taxi
U951,bus
U952,bicycle
U953,bus
U954,bus
U955,bus
U956,bus
U957,subway
U958,subway
U959,taxi
U960,taxi
U961,bus
U962,subway
U963,bus
U964,subway
U965,bus
U966,bus
U967,subway
U968,taxi
U969,bus
U970,taxi
U971,taxi
U972,bus
U973,bicycle
U974,subway
U975,bicycle
U976,bus
U977,subway
U978,bus
U979,bus
U980,subway
U981,bicycle
U982,taxi
U983,taxi
U984,subway
U985,bicycle
U986,subway
U987,taxi
U988,taxi
U989,bus
U990,taxi
U991,bus
U992,bus
U993,bus
U994,subway
U995,taxi
U996,bus
U997,subway
U998,bicycle
U999,bus
U1000,subway
