Size,Bedrooms,Bathrooms,Floor,Age,DistanceToCenter,NearbySchools,NearbyParks,PublicTransport,SafetyIndex,Price
132.3220256,2,2,12,23,5.916262823,7.0,1.0,5.0,54,204546.3152
157.278405,2,2,16,1,4.765030499,9.0,4.0,5.0,44,224020.064
131.7324774,1,1,18,18,16.52969021,1.0,2.0,3.0,94,110609.5388
113.5482199,3,1,13,43,15.60236712,3.0,1.0,4.0,75,143313.9356
146.884117,2,1,13,7,9.115029361,6.0,3.0,1.0,89,162672.0736
183.7659501,1,1,3,41,19.53896563,4.0,1.0,3.0,86,130244.9888
107.5162278,4,2,54,13,17.17703086,0.0,4.0,9.0,39,162590.2994
168.7587557,3,1,38,40,15.85273865,2.0,1.0,6.0,75,161692.8823
188.8394957,2,2,10,1,7.296060226,9.0,3.0,1.0,76,248718.6598
60.65540873,3,1,16,44,5.406366825,6.0,2.0,5.0,20,173827.5772
53.03275962,4,2,11,2,4.85865624,3.0,1.0,6.0,54,189457.7991
174.8929768,3,1,17,49,14.67192021,6.0,0.0,8.0,61,187711.9179
166.7235126,4,1,3,44,16.70385402,26.89748537,0.0,7.0,47,171773.0342
180.5018222,3,1,18,38,13.28233896,5.0,0.0,9.0,30,204159.5337
169.8737846,1,1,6,78,1.71030951,9.0,2.0,1.0,40,219110.9025
167.0793764,2,2,3,24,9.790788997,0.0,3.0,5.0,3,191379.3025
67.74116388,1,2,4,43,4.794374636,9.0,2.0,5.0,10,166407.1129
145.9881532,2,2,12,5,7.993594142,8.0,1.0,6.0,9,204834.6068
71.50299311,1,1,14,8,11.28785886,0.0,0.0,5.0,9,111554.9191
128.2772483,2,1,6,2,10.05623177,4.0,0.0,4.0,81,135112.891
112.199291,4,2,2,24,19.45646361,9.0,1.0,6.0,73,155634.4187
89.68334182,4,2,9,24,1.878301609,0.0,1.0,4.0,74,225064.6027
166.1350534,0,1,8,25,13.50595035,9.0,4.0,8.0,28,186565.4162
135.2650923,1,2,2,6,5.494720011,4.0,2.0,2.0,28,195360.7875
52.81847007,4,2,10,23,5.060436573,2.0,2.0,2.0,59,177524.7453
142.5400995,2,1,1,49,19.85137263,1.0,4.0,8.0,65,143196.3302
191.5622118,4,2,5,1,12.19334879,5.0,0.0,6.0,66,226218.6693
152.2730449,2,2,1,95,18.54539674,7.0,4.0,7.0,23,139349.6091
103.9261851,2,2,12,34,1.231999874,5.0,1.0,1.0,32,198973.7109
115.5547931,1,1,4,32,3.936252789,4.0,1.0,9.0,19,180956.081
154.6446794,1,1,5,7,14.00396185,6.0,2.0,6.0,26,153199.4644
59.03382074,4,1,16,85,8.912861028,5.0,1.0,5.0,69,181855.363
150.0150073,3,1,18,9,16.88332682,3.0,1.0,6.0,49,167654.862
81.55738416,2,1,17,7,14.54693723,9.0,1.0,7.0,51,140355.1919
69.33894465,3,2,7,12,11.75704032,7.0,3.0,6.0,1,162311.0301
97.31425264,1,1,3,5,3.278167779,0.0,0.0,7.0,45,182877.2293
104.5566156,2,2,18,38,14.64107293,5.0,2.0,7.0,84,159680.7391
135.5295156,1,1,19,8,14.42106423,8.0,0.0,2.0,55,144474.2375
198.2560757,1,1,1,43,11.6763177,6.0,1.0,4.0,5,174499.4573
81.33151341,2,1,7,38,9.718145859,5.0,4.0,6.0,46,134771.4726
74.19642768,1,2,5,5,9.032415168,7.0,3.0,3.0,93,161674.9142
147.9662488,2,1,5,43,2.990713681,9.0,4.0,3.0,22,210874.0109
87.99374038,1,2,16,13,4.00243674,1.0,2.0,4.0,39,167355.2137
119.9466159,4,1,7,17,2.649363707,0.0,3.0,1.0,24,185681.2093
86.6638388,3,1,11,6,4.656493258,0.0,1.0,1.0,260,170801.1641
66.55627117,1,2,3,12,1.465930336,5.0,1.0,8.0,97,197857.5553
148.4494384,1,1,15,23,9.200727755,8.0,0.0,4.0,44,182642.0872
70.7274427,4,2,15,43,16.21779139,0.0,1.0,1.0,16,110352.5406
79.48735425,1,1,15,40,2.904905886,6.0,2.0,6.0,29,164944.0301
105.3087756,3,2,1,1,5.326558213,3.0,4.0,5.0,10,192984.3844
64.56519137,4,2,2,49,13.30349622,5.0,4.0,1.0,78,129451.2723
196.4689198,1,2,16,25,16.09608923,7.0,4.0,5.0,40,188529.0414
120.2976802,4,2,1,29,3.686868126,4.0,0.0,5.0,25,220235.1086
196.5141632,2,2,4,130,3.56116,6.0,2.0,1.0,26,242252.1468
140.726828,3,2,16,31,16.10566584,8.0,2.0,9.0,74,177326.1737
55.87816884,1,2,2,33,6.939725203,1.0,1.0,2.0,89,130796.4379
94.42102963,1,1,3,23,7.471164394,3.0,2.0,5.0,64,150217.0954
97.69747691,2,2,11,9,5.564981822,1.0,1.0,7.0,22,197625.9564
59.62212445,4,2,10,37,15.74801866,9.0,4.0,8.0,24,139019.3636
153.8708179,2,2,6,15,18.34986089,3.0,2.0,1.0,75,117920.9073
134.9902181,1,1,6,37,12.64388343,0.0,2.0,21.45019964,16,130822.0306
89.80842364,3,2,4,18,2.99724636,5.0,3.0,4.0,0,200254.9382
128.487208,2,2,17,20,11.29010855,9.0,2.0,5.0,95,188478.9849
64.09107661,2,1,8,25,12.92779861,8.0,4.0,7.0,7,144175.1765
189.3944296,3,1,13,36,16.73200709,5.0,3.0,4.0,34,158030.0066
97.78534287,3,2,5,2,15.8594974,6.0,4.0,3.0,73,121943.5715
69.76967936,4,1,13,21,3.755296199,3.0,4.0,6.0,32,197998.8405
157.4490806,2,2,16,8,14.25024785,9.0,2.0,1.0,30,165348.2901
93.41091394,3,1,11,23,18.01162461,6.0,1.0,7.0,91,131604.2492
77.4787043,1,2,12,45,5.751921086,0.0,4.0,8.0,38,160775.8263
53.01613193,2,1,0,33,15.65474554,5.0,4.0,3.0,96,112513.0284
50.70432143,3,1,7,14,12.71960136,9.0,3.0,7.0,82,145859.4925
151.6724805,1,2,8,2,6.84911071,3.0,4.0,5.0,90,215023.5058
90.50119598,4,2,1,4,2.889889646,0.0,3.0,9.0,19,217836.0842
160.2791033,4,2,3,40,16.65882472,3.0,1.0,6.0,99,179843.2044
194.3282818,4,1,1,37,13.65033366,2.0,2.0,5.0,73,190242.3743
136.4236002,3,2,8,28,3.701284734,1.0,4.0,1.0,1,212038.7397
138.8062897,2,2,19,35,8.17016515,1.0,3.0,5.0,34,172509.3075
135.8377859,1,2,1,46,17.65608552,7.0,2.0,9.0,94,151453.6798
192.9123517,1,2,7,48,1.910154853,4.0,2.0,2.0,99,243062.0055
117.0688068,3,1,13,26,4.631878061,2.0,4.0,8.0,82,191768.685
176.9613009,1,2,1,17,5.753420136,3.0,3.0,9.0,76,234292.339
154.9218913,4,2,9,49,15.88920795,8.0,0.0,8.0,80,184493.8775
94.61554263,1,1,4,10,13.31468795,7.0,0.0,6.0,82,135824.1111
172.069673,4,2,14,26,1.329512189,1.0,4.0,6.0,70,260597.4329
153.8797385,4,2,3,37,12.59878089,8.0,0.0,2.0,26,205138.6867
125.1986573,3,1,15,24,0.313919194,3.0,3.0,2.0,13,188493.9542
193.4125452,1,2,19,41,8.767800027,1.0,1.0,4.0,87,195138.2886
146.5985299,4,2,17,39,3.207701128,1.0,0.0,1.0,85,234088.2427
113.5782573,4,1,12,84,19.2987785,1.0,1.0,3.0,33,116203.8466
140.9589821,4,1,2,38,19.50152462,2.0,0.0,8.0,58,134409.5901
52.87897975,3,2,11,38,9.455032093,2.0,1.0,5.0,55,159813.7773
95.2362225,4,1,6,5,5.891863084,4.0,4.0,2.0,2,159849.184
114.3153051,2,1,1,34,9.774423958,9.0,4.0,9.0,44,187843.3164
70.32110963,1,2,14,28,8.800995327,7.0,0.0,6.0,84,160594.4906
135.4947366,2,2,7,14,10.87265988,0.0,1.0,2.0,50,166240.297
138.6309142,4,1,18,26,13.55106064,7.0,2.0,1.0,37,144243.6486
147.980123,2,2,4,32,14.53152274,4.0,4.0,2.0,7,162725.6918
147.8154905,3,2,1,37,2.787995077,14.80892359,3.0,6.0,22,240251.2535
114.7127653,1,1,18,48,8.17480076,6.0,3.0,8.0,38,184706.4924
184.4819894,1,2,4,40,4.174694582,8.0,3.0,8.0,83,239921.1173
115.3797388,1,2,12,19,4.815661254,4.0,2.0,5.0,71,179769.4297
170.9290984,4,2,5,26,1.360866782,8.0,1.0,4.0,39,272662.6087
155.5832875,3,1,16,40,19.31538444,6.0,3.0,9.0,78,167786.3728
157.1361949,2,2,7,41,13.95902297,7.0,0.0,5.0,2,168252.9759
199.827051,3,1,17,18,6.108872952,1.0,0.0,3.0,49,225216.3354
72.4172457,4,1,5,41,3.028584259,9.0,1.0,3.0,47,221124.9582
180.2189086,3,1,4,40,16.77577003,0.0,3.0,3.0,54,167852.2692
68.57299743,1,2,1,27,2.081222599,1.0,3.0,3.0,72,163742.6164
135.3651108,2,2,7,31,1.155783671,8.0,2.0,3.0,47,218130.9944
111.0774946,3,2,6,2,5.208130269,0.0,1.0,8.0,95,229556.4503
60.37504932,3,1,8,43,14.38895859,2.0,0.0,4.0,86,133571.0475
154.614316,2,0,14,19,3.890676239,8.0,2.0,3.0,47,233213.1938
118.0314024,4,2,19,8,11.95826488,4.0,4.0,2.0,68,173958.5417
179.9573489,4,2,4,6,9.535451411,9.0,4.0,1.0,42,220581.2932
196.3282258,3,1,9,41,17.48103817,9.0,3.0,5.0,87,186685.6071
178.3705014,3,1,16,38,6.749332119,7.0,2.0,5.0,66,230361.8451
51.75711263,4,1,12,20,14.03347541,7.0,4.0,6.0,65,147344.9323
103.9967097,1,1,4,35,9.327343423,3.0,0.0,5.0,36,143232.7282
128.1554909,3,1,18,25,16.98432126,8.0,4.0,2.0,62,124169.6149
52.77826917,1,1,12,1,4.082339425,3.0,2.0,6.0,47,147628.1656
101.8027521,1,1,4,48,11.52402275,9.0,0.0,9.0,78,155132.7971
155.6621603,3,1,4,1,15.77788207,7.0,3.0,8.0,19,192940.4548
143.2217602,3,2,2,5,10.1014086,7.0,3.0,6.0,95,184023.0311
190.1320997,4,2,14,23,9.037607676,0.0,4.0,4.0,34,252717.4016
130.3449205,2,2,19,20,8.686303451,5.0,0.0,9.0,15,208326.3084
138.4864965,1,1,39,13,11.18216332,3.0,3.0,1.0,63,147495.2285
159.5183044,3,2,9,40,18.18354664,1.0,2.0,5.0,47,148813.049
109.7331593,4,1,15,31,6.868418768,7.0,3.0,6.0,77,186892.6537
81.47656235,4,1,7,21,12.91648146,0.0,1.0,3.0,44,120846.9799
123.5688213,1,1,6,25,10.30044699,2.0,4.0,9.0,44,161635.5909
84.1121942,4,2,4,12,15.80842817,2.0,1.0,4.0,4,121872.812
88.15347227,1,2,15,22,15.79779378,2.0,4.0,7.0,18,117872.1053
115.1624938,2,2,10,2,8.271645765,7.0,3.0,6.0,49,189749.7731
96.7693823,2,1,5,14,8.447797209,1.0,1.0,9.0,77,169295.4829
154.4515233,4,1,8,16,1.034570401,9.0,3.0,3.0,48,258654.7547
106.6627759,2,1,2,48,16.76842994,7.0,1.0,6.0,32,128016.2667
76.94055163,1,2,14,44,13.28594044,7.0,0.0,1.0,16,121287.6617
53.70180926,1,2,6,22,15.62852026,3.0,2.0,8.0,82,107941.6945
60.08744472,3,2,9,4,9.941840799,1.0,0.0,1.0,12,153633.665
151.908916,3,2,10,30,18.48367628,7.0,2.0,9.0,42,164601.0455
118.0545267,1,1,8,10,1.553162159,9.0,2.0,3.0,2,199206.6024
130.4868817,2,1,4,25,3.190342472,7.0,2.0,5.0,23,201047.8595
198.5508421,4,1,6,21,2.617012254,7.0,1.0,1.0,6,255603.8412
149.4617305,3,2,12,47,11.77058091,3.0,0.0,5.0,18,181990.0075
89.49835651,2,2,4,20,5.106318372,9.0,4.0,2.0,50,172380.9802
53.09764992,1,1,19,41,12.904169,0.0,2.0,9.0,0,113478.7077
163.7567981,3,2,4,4,18.65859662,9.0,4.0,9.0,60,170595.2128
98.00257262,2,1,15,38,16.65376198,0.0,0.0,3.0,52,121069.3159
107.5195841,3,2,10,4,5.720177364,5.0,4.0,2.0,82,186939.3695
174.6572683,3,1,16,39,19.0536569,5.0,0.0,3.0,59,128842.3041
180.8975983,3,1,10,34,8.11540309,5.0,4.0,4.0,83,222294.7229
192.9187485,3,2,12,23,9.01483853,8.0,2.0,2.0,45,226507.5433
82.32615157,3,1,15,3,11.96863752,1.0,1.0,3.0,66,141857.0701
192.1055886,3,1,15,28,1.812892374,5.0,1.0,1.0,15,226746.7642
159.628371,3,1,3,96,7.36413627,6.0,4.0,1.0,33,200748.1099
88.09124639,4,1,2,38,16.36332724,7.0,4.0,2.0,49,141790.7779
81.99679661,2,1,11,29,14.07416375,4.0,2.0,6.0,3,130903.7385
127.7301071,1,2,6,36,13.018107,7.0,1.0,5.0,21,172803.9845
53.84940771,4,1,15,48,13.7775882,6.0,0.0,6.0,9,135447.4657
81.12051132,4,1,1,34,12.49570064,8.0,2.0,5.0,18,160044.6812
106.1254971,3,1,16,11,12.78800099,3.0,0.0,6.0,84,159140.5014
119.5363137,3,2,16,40,11.13513085,6.0,2.0,5.0,35,180970.3455
91.64430594,2,2,2,9,15.39719538,8.0,3.0,7.0,73,153035.4689
138.017652,3,2,1,18,8.020358707,5.0,0.0,5.0,88,187581.1551
179.5783409,4,1,9,26,10.02952843,4.0,4.0,2.0,87,205187.9699
109.4089554,2,1,6,21,7.185025045,5.0,1.0,7.0,15,194729.1537
134.8131968,4,2,6,34,8.421078766,0.0,3.0,1.0,57,197714.7103
77.49197543,2,2,14,11,2.774297855,1.0,1.0,5.0,41,176548.21
71.7271639,4,1,4,13,5.188647465,2.0,4.0,4.0,55,174298.3399
123.2084421,1,1,14,48,5.741293201,9.0,1.0,8.0,81,192008.2792
103.3419107,4,1,4,3,5.321933956,7.0,3.0,3.0,39,214464.0803
191.0647918,4,1,9,33,7.654212329,7.0,1.0,7.0,26,236474.5096
164.7987881,2,1,4,25,3.752645996,4.0,1.0,1.0,58,202897.7634
185.557961,3,2,12,20,7.510442251,2.0,3.0,7.0,82,242786.5489
62.51336532,1,1,4,1,3.324939446,2.0,1.0,9.0,64,171181.1397
132.8288705,1,2,12,18,12.27839585,4.0,3.0,8.0,38,157407.6973
137.6714103,3,1,12,24,4.413315327,0.0,2.0,2.0,95,197237.7011
194.2904568,4,1,11,47,2.103070093,5.0,3.0,2.0,66,272136.5698
86.12431699,2,1,5,37,8.979901429,5.0,3.0,2.0,60,136617.1071
65.04409134,1,1,13,37,14.17667047,1.0,0.0,5.0,2,89434.37391
150.487482,1,2,16,37,16.0725224,4.0,1.0,4.0,25,125641.3065
167.7729368,2,1,13,16,7.378067791,0.0,1.0,9.0,61,220960.6988
92.25951586,1,2,18,38,13.91459813,5.0,2.0,5.0,82,137061.3754
196.624271,1,2,4,8,16.51056517,8.0,2.0,5.0,88,181226.5311
181.4757868,0,2,15,47,4.55237643,8.0,1.0,3.0,38,251905.2037
194.2355232,1,1,7,21,6.264257092,5.0,4.0,5.0,3,227448.2065
84.75524397,3,1,2,90,3.571671172,8.0,1.0,3.0,85,193221.0663
192.3978234,1,2,16,8,18.67561144,1.0,0.0,6.0,57,166128.8875
191.2066557,2,2,12,37,12.3054677,6.0,4.0,3.0,80,197942.0427
169.8803881,3,1,8,48,17.9219899,0.0,4.0,7.0,30,149222.5047
144.5671905,3,1,9,10,6.825388631,5.0,1.0,6.0,80,208686.711
181.143195,1,1,4,6,16.76687134,5.0,1.0,9.0,9,173858.07
93.95304268,4,1,12,26,18.89196433,3.0,4.0,9.0,19,141759.6816
177.3415333,1,2,8,34,8.508492709,4.0,0.0,8.0,96,199638.5427
142.6815038,4,1,10,21,18.17848997,6.0,1.0,9.0,73,175471.1261
51.98552866,3,1,14,88,7.366629111,5.0,1.0,9.0,60,166906.3454
72.22112914,2,1,8,20,19.91892077,8.0,2.0,2.0,48,99091.37439
197.2744085,4,1,9,10,19.09579852,7.0,0.0,8.0,81,180508.5335
121.7555461,4,2,6,3,5.343748573,7.0,1.0,0.439973214,6,220466.5314
124.6087048,3,1,7,17,16.90683851,8.0,1.0,6.0,45,151793.002
105.2876909,3,2,8,26,0.346402101,6.0,1.0,9.0,37,137048.8583
70.53504075,2,1,19,43,17.14653495,7.0,3.0,9.0,47,123349.5797
173.31766,2,2,12,17,18.19346672,8.0,4.0,8.0,14,194505.4619
78.47718679,1,1,19,18,11.89979672,2.0,1.0,4.0,16,121316.0099
126.6978474,1,2,18,41,6.588875694,3.0,3.0,7.0,73,198435.0248
83.64755435,1,1,12,18,4.752975121,4.0,1.0,1.0,32,144544.6218
64.67667267,2,1,2,38,11.02956649,4.0,4.0,6.0,90,139883.721
195.9379234,3,1,15,39,15.09398407,4.0,3.0,2.0,22,158205.598
194.1251987,2,1,11,13,4.237281039,1.0,4.0,9.0,81,252260.3652
185.9833249,4,2,11,7,11.18187186,2.0,2.0,4.0,35,223613.4734
166.1070999,1,2,17,48,9.286086582,5.0,2.0,7.0,10,187651.148
99.9717728,3,2,16,25,4.956260009,6.0,4.0,5.0,10,201060.7969
62.1652085,1,2,2,34,11.50628403,6.0,1.0,1.0,94,110044.3165
111.0861757,3,1,11,15,6.242360714,9.0,0.0,4.0,31,174887.1997
69.87314521,2,1,16,10,4.802077553,5.0,3.0,6.0,36,165283.0653
58.01407727,1,1,17,38,18.0989082,0.0,0.0,7.0,57,72251.28023
51.71411879,4,2,10,12,12.59635745,1.0,3.0,6.0,95,153274.1514
165.5871123,4,1,12,0,3.316726761,1.0,4.0,5.0,28,223546.8631
72.04199681,4,2,1,17,12.97032666,1.0,2.0,1.0,54,137319.0766
61.92831239,2,2,18,20,6.168766447,8.0,2.0,3.0,69,181199.7333
63.44045514,2,2,8,24,19.17410022,3.0,2.0,5.0,82,98623.99119
150.8071711,3,2,3,49,8.488931055,3.0,2.0,6.0,58,218650.3802
86.80508148,2,1,7,10,12.54072458,2.0,0.0,2.0,46,122923.7994
113.08092,2,1,4,43,5.100453948,3.0,2.0,1.0,11,170580.561
133.6053187,4,2,14,42,17.36804785,3.0,4.0,8.0,45,181268.7304
159.0566394,2,1,12,40,5.667070933,8.0,3.0,4.0,82,203731.7102
90.54918579,2,2,6,27,18.30992165,9.0,1.0,9.0,40,136349.2265
69.72241989,4,2,17,43,1.762945419,4.0,0.0,2.0,62,200657.2458
89.31772239,3,2,9,28,16.8737285,3.0,0.0,1.0,58,113494.2645
118.421085,4,2,7,33,9.844233381,0.0,4.0,6.0,90,203584.7634
152.4922003,4,2,13,31,2.246059818,8.0,3.0,5.0,51,245403.6549
154.3438168,3,2,11,23,5.304365114,3.0,2.0,1.0,92,215180.9968
168.2818268,4,1,16,23,16.31078569,6.0,3.0,3.0,41,180781.9064
58.52721146,3,1,1,48,1.85632672,0.0,4.0,3.0,37,165375.4748
154.5495863,2,1,8,41,2.261766278,6.0,4.0,4.0,160,230438.4442
21.82485795,3,2,6,48,6.65285681,5.0,2.0,7.0,81,230808.2743
166.6111343,4,1,7,25,1.900618518,2.0,0.0,3.0,84,261541.8744
88.91338465,3,1,16,15,19.91854099,3.0,2.0,0.385739217,54,100775.6126
138.1399453,1,1,1,4,10.87214238,3.0,4.0,9.0,9,164836.8345
90.92328536,4,1,19,34,16.29816141,7.0,2.0,7.0,30,157844.5524
79.55814203,4,1,8,37,4.29203412,0.0,2.0,9.0,80,206362.3382
118.9783826,4,2,2,1,5.173042193,4.0,2.0,1.0,65,210023.33
