Police Station,Year-Month,Violent,Theft,Traffic,Intelligence,Against Morals,Special Economic,Drug,Health,Environmental,Labor,Security,Election,Military,Other
PS 1,2021-01-31,36,42,42,20,12,27,35,26,7,16,6,18,13,17
PS 1,2021-02-28,25,21,32,1,20,22,0,49,47,7,2,15,2,47
PS 1,2021-03-31,45,7,36,46,35,46,9,34,17,33,15,45,27,42
PS 1,2021-04-30,43,24,2,2,18,41,37,1,0,44,33,30,45,6
PS 1,2021-05-31,23,36,11,2,36,44,29,34,47,25,35,11,33,47
PS 1,2021-06-30,16,39,29,41,28,21,44,38,41,15,8,10,13,5
PS 1,2021-07-31,50,41,25,27,36,5,33,16,36,50,45,34,48,37
PS 1,2021-08-31,0,5,34,4,26,17,42,20,42,16,18,28,16,3
PS 1,2021-09-30,7,8,9,18,7,14,1,38,43,13,42,36,5,24
PS 1,2021-10-31,39,40,41,28,41,32,29,25,15,43,30,43,31,41
PS 1,2021-11-30,29,22,43,20,16,48,2,11,48,3,3,28,38,20
PS 1,2021-12-31,7,41,15,40,20,18,26,46,8,23,38,38,19,42
PS 1,2022-01-31,32,46,42,45,43,18,28,4,11,24,48,16,12,19
PS 1,2022-02-28,4,23,7,15,23,31,3,2,34,18,4,7,17,35
PS 1,2022-03-31,5,44,1,13,31,24,31,44,18,36,42,46,27,21
PS 1,2022-04-30,20,25,43,38,12,11,38,25,38,42,4,23,29,38
PS 1,2022-05-31,20,1,50,19,9,39,38,15,42,5,0,0,27,49
PS 1,2022-06-30,15,9,20,47,4,5,30,26,21,0,29,44,6,20
PS 1,2022-07-31,46,13,7,39,40,26,5,10,5,49,45,37,3,25
PS 1,2022-08-31,49,47,30,36,6,1,50,13,20,10,43,4,7,21
PS 1,2022-09-30,17,4,5,16,20,7,7,24,42,50,2,26,42,45
PS 1,2022-10-31,13,45,31,39,14,34,18,40,45,14,30,44,10,13
PS 1,2022-11-30,16,35,14,26,4,4,5,12,47,27,7,13,45,8
PS 1,2022-12-31,32,9,21,28,34,29,10,2,37,21,2,8,48,29
PS 2,2021-01-31,25,8,43,13,35,19,43,22,12,2,14,0,19,24
PS 2,2021-02-28,39,27,5,4,20,38,33,45,24,1,28,0,13,3
PS 2,2021-03-31,33,20,23,17,37,11,45,46,11,1,2,36,39,18
PS 2,2021-04-30,34,19,44,20,2,19,4,49,19,50,11,42,3,41
PS 2,2021-05-31,33,24,35,6,8,33,2,33,47,38,38,46,4,40
PS 2,2021-06-30,19,1,6,13,21,18,7,34,19,1,46,8,22,14
PS 2,2021-07-31,13,46,31,3,49,17,13,50,28,27,32,10,20,31
PS 2,2021-08-31,14,0,5,31,37,2,4,15,35,12,3,1,34,27
PS 2,2021-09-30,16,8,45,46,12,26,14,31,41,39,14,17,22,7
PS 2,2021-10-31,11,50,15,7,24,41,50,17,36,32,36,9,21,9
PS 2,2021-11-30,41,38,43,27,31,36,19,7,5,15,44,9,19,11
PS 2,2021-12-31,0,37,11,14,31,17,13,35,33,7,47,2,27,26
PS 2,2022-01-31,11,3,33,13,5,7,36,8,9,47,4,20,38,32
PS 2,2022-02-28,28,41,48,37,48,8,16,36,46,6,41,45,1,18
PS 2,2022-03-31,10,19,46,16,26,35,39,41,0,30,2,45,45,32
PS 2,2022-04-30,27,49,49,49,23,17,45,0,49,46,45,21,9,42
PS 2,2022-05-31,44,2,19,40,5,27,41,13,26,18,21,44,6,18
PS 2,2022-06-30,23,40,24,14,8,43,47,49,24,26,1,40,42,23
PS 2,2022-07-31,35,12,4,24,33,11,31,3,11,5,23,5,8,16
PS 2,2022-08-31,23,41,2,32,29,15,27,11,20,3,23,2,3,28
PS 2,2022-09-30,27,33,38,48,19,16,0,7,26,33,43,30,22,11
PS 2,2022-10-31,14,1,41,26,3,16,15,24,25,17,0,14,18,17
PS 2,2022-11-30,40,22,18,22,28,47,8,41,50,47,45,45,48,43
PS 2,2022-12-31,11,46,1,44,48,27,2,33,24,25,19,4,15,45
PS 3,2021-01-31,2,1,47,2,1,5,20,2,42,36,15,40,38,48
PS 3,2021-02-28,32,43,0,41,36,44,19,33,36,35,9,33,17,20
PS 3,2021-03-31,35,49,35,47,50,11,12,26,28,49,35,22,45,6
PS 3,2021-04-30,15,23,48,0,4,43,9,14,11,44,10,48,39,9
PS 3,2021-05-31,16,32,8,20,13,36,38,43,18,12,48,16,23,4
PS 3,2021-06-30,22,29,44,41,12,14,26,7,20,24,29,33,17,41
PS 3,2021-07-31,35,26,40,40,31,8,5,38,37,20,45,28,0,0
PS 3,2021-08-31,45,22,29,50,1,16,13,17,44,34,6,27,44,48
PS 3,2021-09-30,21,32,34,26,4,19,16,50,40,44,47,40,20,2
PS 3,2021-10-31,29,44,19,34,16,47,42,9,46,5,49,20,32,32
PS 3,2021-11-30,45,42,18,27,13,41,19,26,23,0,41,13,18,19
PS 3,2021-12-31,8,20,5,22,18,37,49,9,6,1,0,27,38,5
PS 3,2022-01-31,46,2,25,33,33,3,30,36,23,23,3,39,38,50
PS 3,2022-02-28,45,1,38,3,30,3,17,24,17,17,37,43,47,32
PS 3,2022-03-31,48,26,20,10,19,13,0,8,5,15,0,4,22,45
PS 3,2022-04-30,28,48,25,18,5,5,45,4,44,44,20,48,46,39
PS 3,2022-05-31,4,1,37,14,9,10,24,4,27,18,14,49,41,11
PS 3,2022-06-30,1,1,50,19,5,30,46,3,35,24,32,11,47,49
PS 3,2022-07-31,43,3,6,44,48,23,21,1,1,8,37,7,13,39
PS 3,2022-08-31,32,34,19,32,4,1,19,32,10,11,18,28,11,42
PS 3,2022-09-30,11,1,11,18,6,23,2,31,10,45,0,28,19,23
PS 3,2022-10-31,40,38,22,39,48,5,34,40,43,43,34,40,39,8
PS 3,2022-11-30,40,48,5,9,46,11,45,21,19,17,25,47,2,35
PS 3,2022-12-31,22,2,45,44,10,1,40,5,11,27,42,40,4,15
PS 4,2021-01-31,45,3,19,29,20,37,0,25,22,39,20,47,13,28
PS 4,2021-02-28,8,3,14,45,13,12,46,2,42,27,32,49,32,7
PS 4,2021-03-31,41,24,45,27,23,2,19,11,2,17,13,32,48,15
PS 4,2021-04-30,26,32,26,45,5,37,32,17,37,42,42,33,2,48
PS 4,2021-05-31,44,32,20,28,47,6,13,31,46,28,36,46,32,3
PS 4,2021-06-30,24,13,11,9,34,20,19,21,12,0,15,4,25,16
PS 4,2021-07-31,16,37,14,37,35,45,27,6,28,40,49,14,4,27
PS 4,2021-08-31,33,8,30,34,36,16,22,34,41,9,18,9,47,28
PS 4,2021-09-30,7,6,34,31,11,47,26,32,37,30,18,14,0,50
PS 4,2021-10-31,38,45,28,23,45,44,16,38,30,14,50,38,35,29
PS 4,2021-11-30,25,10,40,35,10,24,8,15,4,44,15,3,2,30
PS 4,2021-12-31,15,3,29,28,18,46,34,41,30,14,27,21,40,50
PS 4,2022-01-31,22,27,48,17,1,4,27,5,1,13,15,10,5,40
PS 4,2022-02-28,20,6,26,1,46,30,16,49,46,2,15,49,18,12
PS 4,2022-03-31,19,6,0,13,10,5,2,4,45,25,41,11,19,41
PS 4,2022-04-30,13,43,11,20,12,28,45,23,21,23,3,48,38,7
PS 4,2022-05-31,33,49,47,45,48,21,30,13,42,30,10,2,21,39
PS 4,2022-06-30,29,15,1,10,28,38,7,43,41,26,44,46,23,11
PS 4,2022-07-31,42,0,28,22,37,35,26,16,39,17,27,38,36,48
PS 4,2022-08-31,2,32,17,37,31,1,7,15,22,45,29,48,12,17
PS 4,2022-09-30,33,42,2,3,31,9,22,49,46,41,38,49,3,35
PS 4,2022-10-31,21,7,49,40,32,19,18,0,39,43,18,39,42,26
PS 4,2022-11-30,19,3,18,45,31,40,26,42,30,36,8,18,15,16
PS 4,2022-12-31,36,18,47,25,49,25,4,42,28,4,3,8,7,11
PS 5,2021-01-31,27,44,14,50,7,9,18,15,15,22,1,44,2,12
PS 5,2021-02-28,18,45,49,45,2,17,46,10,21,38,33,17,18,16
PS 5,2021-03-31,27,34,12,28,38,12,5,18,47,2,32,10,21,12
PS 5,2021-04-30,4,25,28,49,8,21,32,42,3,27,15,4,35,23
PS 5,2021-05-31,46,10,19,37,8,13,9,20,19,37,15,6,14,18
PS 5,2021-06-30,18,49,8,3,6,12,42,7,22,43,45,6,15,8
PS 5,2021-07-31,11,34,42,20,13,0,4,3,42,17,37,24,33,24
PS 5,2021-08-31,28,45,7,10,19,3,3,33,49,38,8,48,15,39
PS 5,2021-09-30,46,32,22,3,1,30,2,7,42,35,32,45,22,38
PS 5,2021-10-31,23,44,28,46,46,43,46,19,20,36,33,3,47,4
PS 5,2021-11-30,50,16,27,20,15,37,8,19,20,14,18,5,36,8
PS 5,2021-12-31,9,37,3,30,50,20,22,27,47,37,17,41,19,26
PS 5,2022-01-31,42,23,29,25,29,13,45,40,16,6,38,31,38,50
PS 5,2022-02-28,24,10,10,10,14,10,5,50,25,22,45,38,36,5
PS 5,2022-03-31,38,15,16,7,4,1,11,37,3,6,28,28,0,29
PS 5,2022-04-30,15,0,3,24,26,7,20,0,44,15,46,6,28,49
PS 5,2022-05-31,34,2,2,39,16,48,1,4,29,45,41,33,19,34
PS 5,2022-06-30,41,19,49,36,23,24,22,23,36,38,8,28,38,13
PS 5,2022-07-31,35,28,17,39,17,27,25,29,30,2,30,25,8,3
PS 5,2022-08-31,35,45,33,44,8,49,26,0,19,41,40,8,11,49
PS 5,2022-09-30,37,2,24,11,49,43,16,18,33,6,25,41,0,48
PS 5,2022-10-31,41,4,3,22,34,49,41,8,10,17,4,10,5,19
PS 5,2022-11-30,35,0,1,34,31,8,19,13,50,40,50,36,11,21
PS 5,2022-12-31,43,27,18,44,43,5,11,17,3,0,12,37,21,21
PS 6,2021-01-31,19,45,40,21,3,33,32,41,28,28,32,8,9,8
PS 6,2021-02-28,20,4,23,48,5,12,39,19,4,35,18,12,29,39
PS 6,2021-03-31,45,47,6,39,40,14,33,36,3,22,50,2,45,42
PS 6,2021-04-30,24,14,26,0,33,14,21,43,12,21,29,9,27,33
PS 6,2021-05-31,17,35,10,43,9,25,41,37,17,49,4,19,16,18
PS 6,2021-06-30,32,9,31,22,16,41,21,50,21,28,49,11,32,18
PS 6,2021-07-31,18,10,48,8,46,5,5,4,4,21,29,12,30,7
PS 6,2021-08-31,40,40,34,39,4,12,9,49,25,7,50,47,18,45
PS 6,2021-09-30,12,11,32,31,21,4,41,29,34,32,22,6,36,24
PS 6,2021-10-31,35,49,5,49,26,12,30,3,6,47,18,31,8,30
PS 6,2021-11-30,47,8,28,2,29,29,46,31,2,30,12,5,0,48
PS 6,2021-12-31,39,16,36,11,46,16,50,35,26,37,29,12,0,39
PS 6,2022-01-31,32,46,29,4,1,35,37,27,47,48,18,10,32,12
PS 6,2022-02-28,25,46,4,43,6,18,13,45,43,45,3,30,30,18
PS 6,2022-03-31,48,31,33,2,42,33,32,42,3,22,35,48,17,20
PS 6,2022-04-30,20,27,2,39,43,44,49,4,13,26,36,27,1,25
PS 6,2022-05-31,50,22,43,16,20,11,34,15,20,0,36,10,10,39
PS 6,2022-06-30,14,3,35,46,23,47,36,17,27,49,17,9,27,4
PS 6,2022-07-31,32,18,48,21,17,22,1,20,17,15,28,41,42,33
PS 6,2022-08-31,37,38,46,39,44,3,28,24,8,28,37,11,11,18
PS 6,2022-09-30,27,9,12,18,20,38,15,8,3,2,27,49,27,1
PS 6,2022-10-31,44,21,24,29,11,3,12,0,35,39,22,45,49,18
PS 6,2022-11-30,26,6,4,42,25,19,29,0,39,1,32,40,6,4
PS 6,2022-12-31,1,42,50,11,35,4,1,8,41,18,42,36,23,49
PS 7,2021-01-31,33,0,29,9,9,43,28,46,34,17,47,34,8,26
PS 7,2021-02-28,42,49,41,7,17,3,45,32,19,45,1,38,14,46
PS 7,2021-03-31,26,13,7,11,28,31,17,0,1,45,21,27,29,38
PS 7,2021-04-30,16,13,22,14,4,37,20,8,29,31,50,39,25,15
PS 7,2021-05-31,0,28,50,12,10,5,32,19,33,7,27,13,9,10
PS 7,2021-06-30,30,45,25,50,46,0,10,1,30,10,49,1,12,31
PS 7,2021-07-31,21,50,6,48,45,26,2,23,49,44,47,22,19,42
PS 7,2021-08-31,27,0,8,41,0,30,3,9,21,16,38,24,47,10
PS 7,2021-09-30,32,16,5,41,30,30,30,12,27,5,43,1,28,41
PS 7,2021-10-31,16,34,46,38,34,8,24,35,49,34,47,2,38,8
PS 7,2021-11-30,41,47,35,3,40,21,26,41,40,10,7,37,0,11
PS 7,2021-12-31,17,40,49,28,17,39,50,45,49,18,11,45,6,9
PS 7,2022-01-31,19,7,4,34,37,9,38,3,8,30,0,36,23,34
PS 7,2022-02-28,3,32,47,24,49,10,46,24,5,29,10,41,19,22
PS 7,2022-03-31,21,34,50,43,42,45,12,23,42,27,47,7,13,33
PS 7,2022-04-30,9,5,28,5,41,27,39,24,50,42,32,43,4,11
PS 7,2022-05-31,30,44,14,29,20,40,47,17,0,0,28,40,11,5
PS 7,2022-06-30,18,14,10,30,39,13,36,8,18,13,5,23,17,3
PS 7,2022-07-31,44,40,37,24,6,8,15,37,47,38,19,4,3,48
PS 7,2022-08-31,9,22,30,49,28,47,40,7,44,15,22,33,48,5
PS 7,2022-09-30,44,8,30,31,14,15,29,25,20,50,5,12,26,9
PS 7,2022-10-31,32,31,37,22,20,9,15,24,42,21,19,6,20,9
PS 7,2022-11-30,47,9,1,10,17,22,7,17,48,32,48,42,41,3
PS 7,2022-12-31,47,0,20,26,10,45,27,46,41,27,3,17,34,7
PS 8,2021-01-31,34,34,18,26,19,6,13,22,39,29,19,5,15,49
PS 8,2021-02-28,26,28,4,30,2,49,7,49,21,19,5,32,18,8
PS 8,2021-03-31,22,29,47,16,46,23,5,23,9,7,37,3,36,49
PS 8,2021-04-30,3,35,17,3,39,33,26,21,35,28,26,16,45,4
PS 8,2021-05-31,4,11,20,32,6,45,10,49,25,8,8,40,27,46
PS 8,2021-06-30,2,6,36,3,37,42,4,0,26,45,15,27,38,20
PS 8,2021-07-31,27,48,42,36,29,19,41,3,21,13,25,11,19,34
PS 8,2021-08-31,13,25,5,31,23,48,38,38,3,49,24,24,8,45
PS 8,2021-09-30,21,29,25,37,5,7,37,17,45,29,31,34,21,10
PS 8,2021-10-31,42,20,34,42,5,41,24,19,30,10,5,31,7,7
PS 8,2021-11-30,13,11,32,0,13,13,48,39,13,37,26,35,27,41
PS 8,2021-12-31,38,28,45,33,42,19,48,11,27,3,32,15,50,19
PS 8,2022-01-31,23,4,10,48,21,1,45,47,6,6,45,7,20,47
PS 8,2022-02-28,3,3,27,14,45,38,42,27,24,21,40,48,20,0
PS 8,2022-03-31,19,8,7,37,5,38,23,26,50,16,1,36,10,29
PS 8,2022-04-30,32,34,39,34,14,35,12,37,28,23,8,6,38,27
PS 8,2022-05-31,42,28,20,18,24,49,45,19,50,50,29,50,1,14
PS 8,2022-06-30,31,44,41,19,41,4,6,27,14,0,23,24,14,16
PS 8,2022-07-31,50,33,45,36,43,40,16,14,22,19,48,46,22,5
PS 8,2022-08-31,34,37,22,1,35,17,5,23,44,35,23,32,47,0
PS 8,2022-09-30,5,6,47,25,34,11,25,14,11,11,27,37,31,32
PS 8,2022-10-31,47,16,23,25,39,31,28,23,22,6,33,8,17,47
PS 8,2022-11-30,49,17,5,48,7,28,32,22,25,45,38,10,35,0
PS 8,2022-12-31,41,43,42,37,13,44,17,38,33,24,38,9,29,34
PS 9,2021-01-31,14,6,23,46,16,4,6,15,5,0,4,27,14,40
PS 9,2021-02-28,40,9,45,25,29,2,13,28,5,43,10,10,45,15
PS 9,2021-03-31,14,40,31,41,29,49,9,7,43,16,31,22,10,17
PS 9,2021-04-30,42,21,46,49,17,27,4,34,8,46,1,47,30,43
PS 9,2021-05-31,26,28,46,43,2,17,45,49,18,27,27,31,29,31
PS 9,2021-06-30,26,22,45,23,14,22,21,10,24,18,43,30,35,49
PS 9,2021-07-31,0,15,38,37,20,46,2,12,32,47,49,46,39,28
PS 9,2021-08-31,18,17,41,26,50,49,44,34,32,5,15,41,15,32
PS 9,2021-09-30,41,20,2,35,15,6,20,21,29,32,40,0,44,24
PS 9,2021-10-31,41,6,33,7,17,33,33,31,48,28,42,24,19,17
PS 9,2021-11-30,23,16,18,18,20,43,7,0,37,11,15,0,9,34
PS 9,2021-12-31,7,50,45,6,49,1,42,29,26,32,5,10,15,30
PS 9,2022-01-31,30,43,0,9,49,42,40,8,33,26,27,0,4,15
PS 9,2022-02-28,25,20,2,28,0,42,14,50,3,4,40,20,42,38
PS 9,2022-03-31,10,29,27,36,37,0,32,10,31,13,44,18,12,11
PS 9,2022-04-30,13,22,25,22,41,27,5,21,46,1,12,34,1,14
PS 9,2022-05-31,47,12,49,38,36,36,20,10,15,34,44,0,11,43
PS 9,2022-06-30,48,7,7,29,44,40,5,50,24,12,25,14,11,4
PS 9,2022-07-31,33,0,49,35,27,14,0,8,41,41,13,2,18,49
PS 9,2022-08-31,30,35,18,32,36,50,46,10,10,7,9,8,36,7
PS 9,2022-09-30,32,42,29,40,13,8,12,19,5,36,50,31,23,39
PS 9,2022-10-31,48,31,12,20,12,50,47,27,5,19,48,3,2,42
PS 9,2022-11-30,42,47,21,22,46,20,46,47,22,43,11,16,23,20
PS 9,2022-12-31,19,27,29,45,8,5,17,19,6,16,0,37,8,49
PS 10,2021-01-31,2,42,38,41,21,35,47,13,43,18,41,16,9,1
PS 10,2021-02-28,36,47,32,13,2,9,42,4,0,23,16,45,46,38
PS 10,2021-03-31,33,6,43,43,29,7,25,30,33,11,35,18,40,10
PS 10,2021-04-30,12,4,8,0,36,21,29,33,35,20,41,12,33,41
PS 10,2021-05-31,38,48,1,49,8,23,45,47,41,15,19,29,22,39
PS 10,2021-06-30,24,17,24,7,47,39,38,3,38,39,35,50,30,26
PS 10,2021-07-31,32,39,45,21,26,32,48,24,27,23,24,19,2,15
PS 10,2021-08-31,22,33,9,13,7,15,39,12,41,30,38,27,2,42
PS 10,2021-09-30,3,43,47,13,13,33,11,20,14,31,33,14,33,46
PS 10,2021-10-31,10,44,23,44,37,40,44,26,1,45,41,41,0,47
PS 10,2021-11-30,36,16,24,17,19,28,35,36,24,8,1,36,9,11
PS 10,2021-12-31,33,40,3,20,23,21,27,8,37,25,35,47,29,20
PS 10,2022-01-31,40,29,2,21,20,21,29,40,28,36,14,48,1,50
PS 10,2022-02-28,19,8,7,17,7,11,50,10,32,19,35,31,2,39
PS 10,2022-03-31,41,5,40,7,5,32,50,20,17,19,33,33,24,4
PS 10,2022-04-30,7,38,1,7,40,21,38,47,33,35,41,29,40,31
PS 10,2022-05-31,14,19,14,21,50,16,34,37,25,4,12,46,17,14
PS 10,2022-06-30,2,3,20,5,3,0,38,33,5,41,8,16,12,35
PS 10,2022-07-31,37,36,3,35,18,6,21,36,48,39,3,37,21,21
PS 10,2022-08-31,26,14,37,27,13,40,24,10,18,48,9,1,32,18
PS 10,2022-09-30,17,14,5,21,37,2,31,11,25,50,0,14,35,6
PS 10,2022-10-31,44,11,41,5,50,23,22,27,13,3,5,10,20,1
PS 10,2022-11-30,50,17,44,24,33,37,27,21,49,7,18,16,24,46
PS 10,2022-12-31,10,2,38,21,41,0,21,9,43,14,12,40,32,8
PS 11,2021-01-31,29,37,10,29,17,11,44,42,2,9,13,49,21,4
