Police Station,Year-Month,Violent,Theft,Traffic,Intelligence,Against Morals,Special Economic,Drug,Health,Environmental,Labor,Security,Election,Military,Other
PS 11,2021-02-28,10,16,30,12,49,6,23,26,2,29,41,39,32,19
PS 11,2021-03-31,48,5,38,33,22,4,13,18,14,9,27,50,44,46
PS 11,2021-04-30,10,39,49,30,31,18,11,49,30,24,27,47,42,6
PS 11,2021-05-31,2,17,30,33,23,42,0,44,3,19,30,38,48,11
PS 11,2021-06-30,45,44,41,26,25,45,1,1,40,28,25,11,7,44
PS 11,2021-07-31,18,41,29,7,18,1,29,11,23,35,31,35,36,33
PS 11,2021-08-31,6,8,25,20,39,19,23,47,17,15,46,7,14,3
PS 11,2021-09-30,50,15,6,25,14,15,2,13,23,50,31,30,6,17
PS 11,2021-10-31,44,22,47,21,7,50,43,33,18,10,20,17,49,11
PS 11,2021-11-30,21,16,39,23,16,41,4,1,48,9,24,28,19,30
PS 11,2021-12-31,40,50,9,40,23,36,33,20,4,19,9,32,46,24
PS 11,2022-01-31,3,24,6,44,4,6,1,20,1,48,27,34,25,37
PS 11,2022-02-28,31,13,8,24,31,18,10,3,41,37,31,20,11,32
PS 11,2022-03-31,16,6,18,8,49,48,4,35,7,7,17,39,21,21
PS 11,2022-04-30,23,28,44,36,47,30,22,46,9,13,50,39,19,50
PS 11,2022-05-31,28,16,43,16,3,21,23,5,18,49,32,24,22,6
PS 11,2022-06-30,26,11,10,23,48,11,23,1,14,20,23,18,35,6
PS 11,2022-07-31,16,11,25,36,49,31,39,30,12,26,25,4,33,36
PS 11,2022-08-31,30,24,32,12,28,8,24,49,30,11,28,7,11,15
PS 11,2022-09-30,24,31,24,4,20,44,30,46,17,16,34,45,18,34
PS 11,2022-10-31,47,38,10,5,8,20,48,26,42,14,18,9,20,7
PS 11,2022-11-30,8,23,27,42,37,10,21,46,16,33,9,50,1,28
PS 11,2022-12-31,14,2,23,25,21,49,26,20,21,17,29,3,50,7
PS 12,2021-01-31,40,21,29,45,17,30,40,43,10,5,17,9,30,32
PS 12,2021-02-28,19,0,2,15,12,17,27,38,11,27,25,3,49,42
PS 12,2021-03-31,29,3,39,4,10,0,2,37,18,48,19,3,48,40
PS 12,2021-04-30,6,48,19,33,45,49,3,1,21,42,49,33,29,21
PS 12,2021-05-31,50,34,38,8,13,36,20,23,41,14,46,0,25,4
PS 12,2021-06-30,26,24,37,39,17,13,45,11,41,20,26,15,48,15
PS 12,2021-07-31,44,33,12,10,16,24,39,6,20,7,8,2,19,25
PS 12,2021-08-31,26,11,47,30,5,4,8,4,47,11,22,1,3,4
PS 12,2021-09-30,44,37,19,12,23,29,48,11,46,6,30,17,40,46
PS 12,2021-10-31,15,41,44,42,23,24,5,22,4,12,26,31,2,11
PS 12,2021-11-30,5,2,48,37,50,2,5,42,39,48,3,2,0,39
PS 12,2021-12-31,2,13,48,36,1,44,32,43,45,16,42,34,41,27
PS 12,2022-01-31,49,21,40,7,43,12,14,2,50,13,14,29,40,1
PS 12,2022-02-28,1,50,12,39,45,47,36,1,3,14,48,5,1,4
PS 12,2022-03-31,47,41,33,1,20,46,14,9,47,34,0,33,32,48
PS 12,2022-04-30,1,4,39,6,30,32,47,38,3,25,22,25,10,25
PS 12,2022-05-31,37,1,17,5,24,5,19,41,24,39,43,7,22,7
PS 12,2022-06-30,38,12,40,37,17,10,15,20,20,34,40,29,33,47
PS 12,2022-07-31,35,32,25,10,22,13,7,4,18,16,35,15,30,50
PS 12,2022-08-31,38,9,31,30,29,39,29,32,37,44,0,3,23,18
PS 12,2022-09-30,23,37,18,14,50,8,44,25,38,49,31,13,24,38
PS 12,2022-10-31,31,12,2,15,28,22,50,27,34,6,7,5,11,36
PS 12,2022-11-30,38,31,7,15,31,30,30,32,39,17,17,26,39,43
PS 12,2022-12-31,30,49,31,42,26,23,3,24,7,37,6,50,26,2
PS 13,2021-01-31,46,10,47,45,41,41,18,19,8,22,30,28,1,3
PS 13,2021-02-28,19,12,15,17,13,48,28,12,28,3,38,33,9,47
PS 13,2021-03-31,33,1,12,48,16,17,41,9,10,12,11,34,47,28
PS 13,2021-04-30,34,33,41,45,50,25,2,12,37,21,30,11,17,39
PS 13,2021-05-31,32,10,43,9,16,30,4,49,0,4,43,12,33,39
PS 13,2021-06-30,23,3,37,42,28,38,44,30,49,25,4,0,25,38
PS 13,2021-07-31,14,31,29,31,13,37,23,34,20,44,25,29,6,42
PS 13,2021-08-31,27,20,26,28,24,28,48,1,14,4,10,4,3,35
PS 13,2021-09-30,32,50,1,38,29,30,37,2,2,22,42,37,19,29
PS 13,2021-10-31,17,27,12,13,48,33,4,0,13,37,0,39,12,1
PS 13,2021-11-30,11,12,21,8,22,27,24,11,7,18,28,20,8,36
PS 13,2021-12-31,4,36,42,43,12,22,39,41,9,29,25,1,35,50
PS 13,2022-01-31,48,9,44,46,32,46,24,15,26,34,20,17,4,41
PS 13,2022-02-28,29,33,15,20,33,36,14,6,26,31,6,10,0,40
PS 13,2022-03-31,47,22,22,21,17,37,19,50,42,9,9,10,3,17
PS 13,2022-04-30,14,12,15,23,18,42,40,4,5,24,3,29,25,50
PS 13,2022-05-31,43,50,40,38,0,21,7,39,37,13,44,9,37,19
PS 13,2022-06-30,1,27,27,15,21,42,32,25,45,15,37,14,45,6
PS 13,2022-07-31,13,20,4,3,7,11,39,27,40,36,24,2,22,48
PS 13,2022-08-31,22,41,28,50,45,35,47,20,26,16,5,37,16,18
PS 13,2022-09-30,35,27,46,16,24,42,43,27,22,42,43,8,38,46
PS 13,2022-10-31,43,30,19,45,50,28,12,49,14,5,43,27,4,30
PS 13,2022-11-30,12,36,47,27,9,16,34,8,30,13,9,26,30,11
PS 13,2022-12-31,4,13,39,22,32,13,17,4,18,25,45,21,11,27
PS 14,2021-01-31,24,44,31,43,24,25,41,17,42,35,14,50,19,45
PS 14,2021-02-28,32,27,8,35,14,37,21,44,35,34,38,23,18,44
PS 14,2021-03-31,17,7,8,13,13,5,25,42,37,20,14,26,33,21
PS 14,2021-04-30,28,41,21,45,15,21,6,10,28,45,38,3,4,44
PS 14,2021-05-31,31,42,29,33,13,10,38,35,38,33,46,38,5,47
PS 14,2021-06-30,2,40,47,34,1,36,18,30,33,30,6,18,44,14
PS 14,2021-07-31,44,42,46,47,19,30,38,49,12,47,5,38,5,35
PS 14,2021-08-31,19,20,43,48,49,9,3,38,27,36,46,5,35,34
PS 14,2021-09-30,4,34,35,8,27,46,44,19,17,46,40,31,46,10
PS 14,2021-10-31,11,31,13,1,45,7,1,19,22,49,31,48,2,44
PS 14,2021-11-30,6,23,30,17,28,38,41,50,40,18,39,32,20,32
PS 14,2021-12-31,49,5,16,45,48,0,8,37,32,49,26,1,3,32
PS 14,2022-01-31,31,33,43,2,26,49,5,50,6,30,7,40,48,42
PS 14,2022-02-28,12,1,23,17,0,22,14,28,50,18,28,5,26,4
PS 14,2022-03-31,31,23,33,34,34,31,47,43,16,27,24,0,15,35
PS 14,2022-04-30,2,5,8,26,19,21,36,23,43,37,2,8,20,21
PS 14,2022-05-31,23,40,38,2,6,1,17,23,43,28,4,47,49,16
PS 14,2022-06-30,14,47,41,24,16,30,7,7,44,6,37,30,39,13
PS 14,2022-07-31,10,4,45,33,37,0,25,20,43,27,4,40,39,42
PS 14,2022-08-31,11,27,33,50,19,31,48,12,21,14,44,31,50,5
PS 14,2022-09-30,42,36,3,41,36,47,24,17,38,8,20,0,24,42
PS 14,2022-10-31,37,43,28,9,1,42,32,21,6,3,39,9,25,45
PS 14,2022-11-30,35,24,45,44,1,24,23,19,2,31,21,9,3,27
PS 14,2022-12-31,47,45,48,34,35,3,47,48,18,31,21,29,28,14
PS 15,2021-01-31,44,48,44,46,17,39,23,3,31,2,22,31,9,32
PS 15,2021-02-28,39,29,11,16,43,6,43,35,35,3,15,29,9,9
PS 15,2021-03-31,24,41,36,25,36,19,9,10,23,40,39,34,21,14
PS 15,2021-04-30,45,33,13,31,26,38,19,12,10,19,14,16,30,42
PS 15,2021-05-31,25,25,48,19,40,48,47,20,41,5,32,7,20,44
PS 15,2021-06-30,16,35,8,14,27,27,5,23,19,27,26,33,33,26
PS 15,2021-07-31,36,4,32,38,1,46,50,41,3,6,9,22,15,17
PS 15,2021-08-31,44,21,26,49,26,29,13,29,1,25,20,8,20,5
PS 15,2021-09-30,10,9,40,18,1,23,42,9,0,2,35,7,22,29
PS 15,2021-10-31,47,14,0,22,12,15,41,28,13,11,6,12,28,45
PS 15,2021-11-30,41,8,4,33,49,37,25,36,33,48,19,10,26,15
PS 15,2021-12-31,8,8,43,23,42,50,24,4,11,31,1,12,45,21
PS 15,2022-01-31,22,7,34,44,29,28,31,14,32,28,9,13,45,41
PS 15,2022-02-28,24,49,43,17,37,36,25,47,19,46,30,0,11,16
PS 15,2022-03-31,35,27,2,28,19,5,18,40,44,33,0,29,50,27
PS 15,2022-04-30,26,25,2,31,23,24,42,15,16,46,47,1,13,6
PS 15,2022-05-31,48,22,48,33,10,38,26,8,47,46,29,24,39,31
PS 15,2022-06-30,37,4,33,31,31,14,24,37,38,32,36,38,30,6
PS 15,2022-07-31,14,4,23,0,13,30,11,45,29,38,16,48,32,13
PS 15,2022-08-31,2,1,25,19,46,50,34,25,29,37,33,19,44,40
PS 15,2022-09-30,17,32,0,41,16,48,12,37,6,45,19,3,42,42
PS 15,2022-10-31,30,27,26,13,42,34,4,30,38,32,22,16,44,23
PS 15,2022-11-30,43,10,16,41,18,46,9,0,32,24,1,50,36,17
PS 15,2022-12-31,49,14,30,33,5,21,41,11,40,3,44,3,3,29
PS 16,2021-01-31,37,3,21,31,29,45,28,48,36,33,33,5,16,30
PS 16,2021-02-28,9,43,17,9,7,19,5,32,16,9,39,12,33,11
PS 16,2021-03-31,1,11,24,22,25,8,2,2,2,46,6,42,45,2
PS 16,2021-04-30,45,26,23,28,18,3,25,37,34,25,47,15,2,38
PS 16,2021-05-31,2,5,42,33,30,26,11,49,7,43,26,30,25,37
PS 16,2021-06-30,21,3,44,18,19,38,14,11,29,50,7,20,34,23
PS 16,2021-07-31,31,13,46,45,10,24,44,47,50,14,16,22,11,2
PS 16,2021-08-31,4,1,2,30,28,43,50,2,22,15,24,27,48,34
PS 16,2021-09-30,4,22,48,14,21,6,41,21,18,39,7,28,0,7
PS 16,2021-10-31,7,32,19,20,38,16,35,49,11,49,25,32,14,4
PS 16,2021-11-30,32,31,45,3,38,13,32,46,47,22,28,24,38,39
PS 16,2021-12-31,44,0,13,24,48,48,25,23,31,49,40,24,47,38
PS 16,2022-01-31,19,27,38,33,44,48,44,3,2,38,13,39,4,34
PS 16,2022-02-28,5,23,27,12,18,41,10,1,31,1,22,2,43,38
PS 16,2022-03-31,16,10,41,33,41,50,30,25,4,0,3,23,15,34
PS 16,2022-04-30,15,27,34,12,17,0,15,27,12,36,13,14,20,35
PS 16,2022-05-31,18,35,26,31,25,48,12,7,30,41,15,9,12,4
PS 16,2022-06-30,5,30,49,40,16,8,4,41,37,23,45,42,10,17
PS 16,2022-07-31,32,17,11,24,0,1,43,24,12,17,45,3,31,29
PS 16,2022-08-31,40,45,28,22,5,25,18,23,19,42,38,12,39,48
PS 16,2022-09-30,1,30,25,42,34,31,41,20,25,48,42,19,25,18
PS 16,2022-10-31,49,48,3,27,47,1,18,5,3,39,41,13,21,46
PS 16,2022-11-30,16,20,46,48,20,35,41,47,12,33,28,26,15,36
PS 16,2022-12-31,23,47,12,21,49,22,14,21,28,41,27,5,9,42
PS 17,2021-01-31,35,18,10,38,18,44,42,30,0,30,14,32,37,28
PS 17,2021-02-28,4,22,5,38,21,39,25,44,6,0,13,44,8,45
PS 17,2021-03-31,49,14,49,47,2,7,5,44,48,13,16,21,4,23
PS 17,2021-04-30,2,1,4,12,33,18,2,38,37,3,8,32,28,30
PS 17,2021-05-31,27,26,22,25,38,1,41,26,24,19,26,49,45,17
PS 17,2021-06-30,7,1,23,47,18,14,39,8,43,41,10,35,17,17
PS 17,2021-07-31,39,31,7,23,10,31,43,0,31,24,12,50,35,40
PS 17,2021-08-31,17,26,28,5,47,29,28,13,39,48,31,23,23,7
PS 17,2021-09-30,48,50,7,19,5,36,32,38,9,22,50,50,23,16
PS 17,2021-10-31,5,30,34,43,45,10,8,46,11,44,39,21,35,45
PS 17,2021-11-30,43,43,5,10,9,25,31,40,40,15,43,28,13,16
PS 17,2021-12-31,39,29,22,11,36,47,23,39,44,46,23,13,49,39
PS 17,2022-01-31,48,45,1,4,7,11,49,31,28,7,23,21,4,28
PS 17,2022-02-28,11,26,23,41,28,49,19,48,20,18,31,44,3,8
PS 17,2022-03-31,17,39,12,30,25,10,34,29,45,12,47,36,28,28
PS 17,2022-04-30,47,19,23,19,22,50,32,47,24,5,50,32,43,19
PS 17,2022-05-31,11,36,23,25,22,40,0,11,29,27,45,42,46,2
PS 17,2022-06-30,20,35,2,22,25,12,10,23,26,31,36,7,7,3
PS 17,2022-07-31,14,3,22,39,38,44,31,50,35,45,14,24,30,5
PS 17,2022-08-31,36,31,30,32,8,6,44,31,34,31,16,0,1,22
PS 17,2022-09-30,7,27,24,27,13,0,40,3,47,50,9,2,18,39
PS 17,2022-10-31,14,43,31,39,48,13,35,22,37,34,12,26,36,7
PS 17,2022-11-30,14,15,40,31,44,46,4,24,0,22,46,14,44,18
PS 17,2022-12-31,36,12,28,12,46,25,39,27,48,12,23,43,27,3
PS 18,2021-01-31,14,24,23,49,37,46,18,26,21,42,14,47,24,15
PS 18,2021-02-28,11,41,1,7,0,50,10,41,45,17,42,31,8,32
PS 18,2021-03-31,47,0,29,47,10,11,26,17,34,49,31,0,37,7
PS 18,2021-04-30,8,12,24,16,48,23,25,11,16,2,24,39,7,40
PS 18,2021-05-31,43,46,46,9,25,36,47,12,45,39,38,50,11,37
PS 18,2021-06-30,41,37,11,18,4,42,14,15,25,32,9,23,44,32
PS 18,2021-07-31,8,0,25,46,37,32,49,0,1,42,19,36,30,31
PS 18,2021-08-31,21,4,13,14,10,29,34,29,35,41,33,30,41,14
PS 18,2021-09-30,28,8,34,37,23,2,27,16,4,39,44,38,46,46
PS 18,2021-10-31,9,45,31,7,35,45,18,8,4,47,18,39,31,43
PS 18,2021-11-30,26,15,45,28,36,1,34,7,47,40,49,19,15,21
PS 18,2021-12-31,21,32,0,35,1,11,15,38,38,40,35,5,43,32
PS 18,2022-01-31,17,5,42,20,41,28,30,11,12,21,41,13,50,24
PS 18,2022-02-28,2,13,42,44,7,47,14,27,50,46,14,17,17,35
PS 18,2022-03-31,35,22,0,28,22,2,22,4,3,32,49,16,50,39
PS 18,2022-04-30,12,23,13,34,40,46,35,5,42,46,7,27,12,26
PS 18,2022-05-31,10,48,18,30,17,33,19,1,35,20,42,33,24,33
PS 18,2022-06-30,0,25,24,33,22,27,4,41,41,50,49,33,8,18
PS 18,2022-07-31,3,5,15,0,50,49,28,24,50,29,47,23,1,37
PS 18,2022-08-31,9,37,48,31,38,26,16,39,15,25,49,20,28,43
PS 18,2022-09-30,43,36,47,2,34,3,38,12,15,21,15,33,26,36
PS 18,2022-10-31,32,45,16,10,13,45,28,1,9,19,32,38,26,10
PS 18,2022-11-30,37,40,36,38,22,50,2,48,31,21,32,12,24,37
PS 18,2022-12-31,40,18,41,11,35,42,34,39,47,46,50,38,34,40
PS 19,2021-01-31,15,3,41,6,38,41,42,17,24,19,42,49,0,12
PS 19,2021-02-28,36,47,22,36,2,35,2,34,20,45,24,33,23,45
PS 19,2021-03-31,47,8,45,16,26,38,15,18,19,26,50,40,47,40
PS 19,2021-04-30,20,45,23,12,31,8,19,30,46,43,37,11,31,7
PS 19,2021-05-31,3,17,26,33,50,29,19,48,10,47,5,4,47,7
PS 19,2021-06-30,20,15,12,27,35,37,14,37,23,5,20,18,48,3
PS 19,2021-07-31,35,47,29,28,14,34,16,39,44,34,41,49,9,30
PS 19,2021-08-31,10,39,30,46,43,20,29,32,16,22,18,17,49,5
PS 19,2021-09-30,37,3,26,15,1,4,48,6,29,17,16,9,43,2
PS 19,2021-10-31,28,22,43,47,5,27,25,47,22,14,39,5,18,47
PS 19,2021-11-30,44,25,33,6,49,2,11,28,29,30,1,16,7,7
PS 19,2021-12-31,28,10,31,12,21,30,34,44,7,29,7,9,33,6
PS 19,2022-01-31,46,31,43,30,49,13,0,40,36,22,45,39,10,42
PS 19,2022-02-28,31,2,19,46,47,35,20,21,37,43,50,33,14,47
PS 19,2022-03-31,16,22,34,23,4,24,9,28,13,38,16,23,13,18
PS 19,2022-04-30,30,35,11,47,8,45,12,26,36,0,31,7,43,35
PS 19,2022-05-31,48,39,26,10,46,9,18,38,18,2,3,14,12,34
PS 19,2022-06-30,5,26,40,6,22,6,13,2,11,8,32,3,22,25
PS 19,2022-07-31,22,45,32,18,8,1,21,29,50,1,32,19,4,49
PS 19,2022-08-31,18,20,47,6,1,27,10,16,24,30,41,42,48,48
PS 19,2022-09-30,17,14,42,43,31,34,44,9,33,20,43,38,18,2
PS 19,2022-10-31,33,15,14,22,8,2,50,33,20,34,13,18,15,14
PS 19,2022-11-30,11,16,33,31,40,42,7,26,20,26,16,13,37,14
PS 19,2022-12-31,0,4,30,3,11,10,46,42,28,2,27,47,20,21
PS 20,2021-01-31,16,46,2,0,9,0,12,37,22,10,45,35,30,24
PS 20,2021-02-28,7,9,10,44,49,41,38,22,22,19,40,15,15,40
PS 20,2021-03-31,22,26,35,28,4,41,2,18,48,49,0,3,5,19
PS 20,2021-04-30,9,30,18,22,36,17,33,10,20,50,30,9,38,9
PS 20,2021-05-31,50,12,48,4,23,11,28,45,17,42,27,18,46,19
PS 20,2021-06-30,29,5,32,29,14,19,22,39,35,35,34,37,46,19
PS 20,2021-07-31,2,15,29,32,0,15,10,11,31,4,39,7,11,0
PS 20,2021-08-31,9,38,0,34,19,0,8,16,3,39,45,29,35,7
PS 20,2021-09-30,2,24,9,27,1,35,14,41,39,35,25,3,23,42
PS 20,2021-10-31,21,18,6,27,50,26,42,24,1,47,10,42,25,31
PS 20,2021-11-30,2,38,27,43,36,1,17,49,37,32,26,21,43,29
PS 20,2021-12-31,44,19,45,38,37,12,30,13,30,31,27,6,33,36
PS 20,2022-01-31,18,39,5,43,23,37,29,6,5,14,12,2,26,18
PS 20,2022-02-28,5,7,16,12,20,4,8,17,1,35,31,14,17,6
PS 20,2022-03-31,3,23,35,45,26,18,8,45,47,41,40,46,7,14
PS 20,2022-04-30,28,27,19,26,37,46,10,3,27,25,11,45,15,7
PS 20,2022-05-31,19,47,40,37,36,34,23,2,32,32,25,22,15,28
PS 20,2022-06-30,33,29,10,7,24,14,12,26,29,28,44,4,47,22
PS 20,2022-07-31,40,28,50,37,39,10,20,23,7,3,41,26,21,39
PS 20,2022-08-31,50,8,16,4,16,28,31,49,28,45,21,47,33,20
PS 20,2022-09-30,10,10,5,7,17,1,5,49,27,46,35,35,18,15
PS 20,2022-10-31,25,29,1,31,5,29,11,48,37,45,5,14,24,4
PS 20,2022-11-30,17,25,4,10,20,2,15,31,12,6,46,42,5,12
PS 20,2022-12-31,27,40,18,23,27,11,45,48,50,4,39,30,42,42
