student id,Statistics,DataScience,MachineLearning,EnglishLiterature
1,,54,94,62
2,76,16,80,
3,6,,68,45
4,84,30,76,
5,,53,33,90
6,18,,6,2
7,26,25,13,
8,63,,91,62
9,57,,37,45
10,,21,69,49
11,25,,12,52
12,70,47,73,
13,10,72,90,
14,16,95,94,
15,38,48,60,
16,,6,70,1
17,63,,65,21
18,46,0,,86
19,36,26,20,
20,84,34,,61
21,,30,27,73
22,72,,52,84
23,,23,62,48
24,59,43,42,
25,13,9,,27
26,,90,34,70
27,41,37,6,
28,58,85,3,
29,75,11,29,
30,78,83,26,
31,80,35,52,
32,17,,80,10
33,60,73,99,
34,,25,26,51
35,,79,27,4
36,,85,53,23
37,,22,92,43
38,6,13,77,
39,17,,40,94
40,68,,18,2
41,,27,8,79
42,,51,87,47
43,,63,30,13
44,92,,46,14
45,46,,45,97
46,4,,10,63
47,,18,72,58
48,73,13,12,
49,29,78,77,
50,9,46,,60
51,76,29,,75
52,24,59,72,
53,15,54,,32
54,80,11,,15
55,25,21,,22
56,,81,92,91
57,,72,91,92
58,,99,30,41
59,9,52,,43
60,,81,50,16
61,64,,26,7
62,54,,82,58
63,75,57,,58
64,76,,13,72
65,,18,17,42
66,44,98,,75
67,87,70,78,
68,46,54,,50
69,43,65,78,
70,,6,47,44
71,9,,3,9
72,,34,94,1
73,38,,78,80
74,94,,50,13
75,86,,46,99
76,87,,37,93
77,,90,82,86
78,6,74,43,
79,1,,73,90
80,,48,79,17
81,19,,19,65
82,27,35,,9
83,13,,53,70
84,88,10,43,
85,,5,40,15
86,14,85,0,
87,35,97,14,
88,6,88,,3
89,68,,95,27
90,67,34,41,
91,,13,17,40
92,74,38,,42
93,,67,27,60
94,15,34,50,
95,44,,84,52
96,25,,75,44
97,81,5,83,
98,71,,68,95
99,93,91,,32
100,41,82,29,
101,13,9,54,
102,8,25,33,
103,17,,47,16
104,49,62,,71
105,94,,80,86
106,,37,9,46
107,12,88,,22
108,56,,78,45
109,33,62,,4
110,69,,76,41
111,12,0,69,
112,,22,97,49
113,,65,10,70
114,16,71,27,
115,38,84,,41
116,82,,70,38
117,34,,74,40
118,40,,27,94
119,36,,98,59
120,89,,27,56
121,58,31,48,
122,3,64,37,
123,39,,12,84
124,75,76,,91
125,47,57,21,
126,12,,17,39
127,31,,29,55
128,,65,37,0
129,23,13,8,
130,84,53,,82
131,80,13,8,
132,,6,27,37
133,,35,40,26
134,94,76,57,
135,45,80,,58
136,,23,72,80
137,18,,74,15
138,88,64,3,
139,,90,20,47
140,,62,97,24
141,82,40,,9
142,72,71,,92
143,41,19,86,
144,67,78,66,
145,87,,24,84
146,,35,46,32
147,,34,42,92
148,37,82,,55
149,35,99,,65
150,93,20,99,
151,46,,98,91
152,62,62,,78
153,30,91,51,
154,4,68,,6
155,41,,3,39
156,27,,13,44
157,0,74,93,
158,,78,0,0
159,96,11,,29
160,5,,69,57
161,30,18,,16
162,,81,75,9
163,9,90,,76
164,64,,28,77
165,87,58,,48
166,,27,25,84
167,,76,24,5
168,34,76,,59
169,,43,79,59
170,,21,12,98
171,5,20,,31
172,,98,23,19
173,85,,47,6
174,68,73,24,
175,47,32,74,
176,90,91,16,
177,98,,22,28
178,28,78,89,
179,5,,66,35
180,,75,51,77
181,99,,56,95
182,,94,5,29
183,91,53,65,
184,,61,26,28
185,39,97,47,
186,32,,4,54
187,0,11,51,
188,99,,68,26
189,15,,92,16
190,70,95,,2
191,,17,65,32
192,,97,38,68
193,94,4,79,
194,,21,10,16
195,,2,46,61
196,,46,32,23
197,61,1,36,
198,89,,8,47
199,91,,0,35
200,26,62,,52
201,22,31,1,
202,,93,3,3
203,98,36,42,
204,20,5,88,
205,83,54,3,
206,,83,23,48
207,94,30,,89
208,7,42,12,
209,4,27,,76
210,74,43,53,
211,10,43,,6
212,71,0,51,
213,,34,96,23
214,64,,71,30
215,18,,32,2
216,38,,12,64
217,72,,3,13
218,90,3,70,
219,6,20,,58
220,2,85,,47
221,52,,58,82
222,80,,57,43
223,33,69,,93
224,,79,89,24
225,60,64,61,
226,,77,12,70
227,49,3,32,
228,,49,99,13
229,75,,17,68
230,87,,47,74
231,38,48,36,
232,93,,25,35
233,,71,64,64
234,8,67,,6
235,7,51,,77
236,82,17,,3
237,8,,47,43
238,61,3,,44
239,75,,49,50
240,10,,43,79
241,,91,62,99
242,,82,62,35
243,,85,28,59
244,,97,89,74
245,1,21,,25
246,10,,41,13
247,,51,66,82
248,84,7,40,
249,,56,85,37
250,46,,83,90
251,55,,6,0
252,8,,85,37
253,67,46,41,
254,92,,63,57
255,39,65,,51
256,61,,69,58
257,,91,95,40
258,73,53,7,
259,99,,47,69
260,,41,28,85
261,11,3,18,
262,35,46,,17
263,27,,54,73
264,19,71,71,
265,43,44,,46
266,34,33,74,
267,69,,92,46
268,32,,83,39
269,30,,95,47
270,1,32,,63
271,45,,55,64
272,85,22,,27
273,,5,35,35
274,67,,28,91
275,9,43,3,
276,11,51,,86
277,4,29,60,
278,44,,2,94
279,69,47,,76
280,17,79,,56
281,41,24,,85
282,,3,60,46
283,,31,70,51
284,97,,47,11
285,62,8,62,
286,3,,55,54
287,,41,54,25
288,6,71,63,
289,93,69,,38
290,67,,7,43
291,23,88,,29
292,,51,17,56
293,43,33,,48
294,78,42,80,
295,1,53,,64
296,56,15,,80
297,72,,20,61
298,63,,54,43
299,,25,0,49
300,,39,2,70
301,3,,30,13
302,20,,75,11
303,5,,16,77
304,62,8,,27
305,,6,42,4
306,15,,60,0
307,39,37,,6
308,93,58,,25
309,76,,64,62
310,52,50,,49
311,28,71,65,
312,50,7,26,
313,40,61,,48
314,22,14,63,
315,,95,85,52
316,7,36,,80
317,70,20,38,
318,4,16,98,
319,56,14,,15
320,88,14,,10
321,4,84,,52
322,75,53,,93
323,67,44,,90
324,91,2,,60
325,66,,23,28
326,,53,18,59
327,65,,68,36
328,81,24,89,
329,,76,34,85
330,56,,63,73
331,,36,41,6
332,17,31,,6
333,,50,16,30
334,28,,75,32
335,89,38,29,
336,,2,83,76
337,,18,64,41
338,,22,17,42
339,4,,4,18
340,69,14,,10
341,50,93,83,
342,,34,3,8
343,90,,82,68
344,7,93,35,
345,79,,46,45
346,67,58,3,
347,70,66,24,
348,,55,59,35
349,,3,71,27
350,66,71,10,
351,,63,5,40
352,86,,52,43
353,,65,6,28
354,5,74,,7
355,,29,82,47
356,60,63,66,
357,41,29,96,
358,49,,60,52
359,25,36,,19
360,96,91,26,
361,56,56,28,
362,45,87,,82
363,5,65,,85
364,34,1,93,
365,,98,14,30
366,9,,54,27
367,7,76,93,
368,36,,38,92
369,,85,87,37
370,20,,13,40
371,50,54,,65
372,72,58,,73
373,49,17,49,
374,89,87,,57
375,74,90,13,
376,31,,21,97
377,1,,96,43
378,55,,70,34
379,94,46,,90
380,17,,12,52
381,47,,39,48
382,,55,25,64
383,60,,30,92
384,87,79,38,
385,86,48,7,
386,37,,66,77
387,20,46,93,
388,32,,52,55
389,19,56,22,
390,86,60,,34
391,61,54,38,
392,85,92,48,
393,34,61,65,
394,,54,17,52
395,34,,43,13
396,,17,31,21
397,98,1,,69
398,47,,38,63
399,,31,92,68
400,37,7,,67
401,54,21,21,
402,57,,90,66
403,,92,47,32
404,33,99,58,
405,32,,17,9
406,99,44,,86
407,5,86,,9
408,65,61,,5
409,68,,7,54
410,,19,51,38
411,,13,11,87
412,54,53,,75
413,40,95,,3
414,61,,2,71
415,2,25,46,
416,5,,16,8
417,81,92,,78
418,56,6,,77
419,56,92,,3
420,59,,4,0
421,75,38,6,
422,,20,70,16
423,64,67,69,
424,61,39,59,
425,80,,89,94
426,27,75,64,
427,,33,25,52
428,14,,48,34
429,40,,50,62
430,43,38,,19
431,,42,98,21
432,20,,90,35
433,27,,3,89
434,7,4,4,
435,53,,9,68
436,33,,49,74
437,,23,57,96
438,,77,21,92
439,23,,5,61
440,2,,0,9
441,71,,29,21
442,80,,78,83
443,37,,90,76
444,79,83,,18
445,,66,16,75
446,99,,9,73
447,30,22,,20
448,83,,68,79
449,33,64,,15
450,,77,9,49
451,10,,34,39
452,48,,44,1
453,72,,0,11
454,26,,94,42
455,,19,85,1
456,60,82,,92
457,62,11,49,
458,63,,9,24
459,68,26,52,
460,54,85,78,
461,29,1,,78
462,0,,15,33
463,32,69,,30
464,47,58,73,
465,7,,30,85
466,30,,41,8
467,65,,85,8
468,,49,64,91
469,50,,48,89
470,29,,71,26
471,95,14,,19
472,8,39,29,
473,23,77,,40
474,,1,89,88
475,30,41,,80
476,62,75,,71
477,85,88,,37
478,43,59,,36
479,32,,73,16
480,35,3,39,
481,37,3,,40
482,58,99,1,
483,3,11,3,
484,59,12,96,
485,39,50,,0
486,54,54,87,
487,71,59,65,
488,98,,13,56
489,30,,85,81
490,23,35,33,
491,6,24,,34
492,57,73,24,
493,93,5,48,
494,,25,68,38
495,,0,59,78
496,73,,50,28
497,15,,66,36
498,7,81,,31
499,43,,41,79
500,28,54,,52
501,42,31,,86
502,57,23,68,
503,64,17,70,
504,,68,75,96
505,80,2,74,
506,,39,38,54
507,,0,9,75
508,44,52,81,
509,47,69,,48
510,,38,36,4
511,75,,39,93
512,62,,45,75
513,42,32,,1
514,47,,34,42
515,,42,74,42
516,46,,79,90
517,40,,80,43
518,,92,64,63
519,44,2,22,
520,24,44,,83
521,94,77,,7
522,83,99,53,
523,62,29,84,
524,8,,74,41
525,34,46,61,
526,75,72,55,
527,,85,68,47
528,7,56,85,
529,86,,70,19
530,43,,70,96
531,86,21,,11
532,,43,67,96
533,29,,21,81
534,69,91,,1
535,,33,40,43
536,51,94,,82
537,54,,79,51
538,,45,93,4
539,56,,48,20
540,16,53,,85
541,,66,20,56
542,,24,43,84
543,63,15,97,
544,24,88,91,
545,61,,3,19
546,12,,44,74
547,9,63,,92
548,46,,95,87
549,,13,69,45
550,7,,41,16
551,,50,39,35
552,28,81,,37
553,1,,81,30
554,34,3,33,
555,43,89,,1
556,98,56,,49
557,40,82,41,
558,54,,85,47
559,92,65,41,
560,,38,12,79
561,,28,25,53
562,86,63,,91
563,77,33,,78
564,8,68,,46
565,85,45,,92
566,,22,14,0
567,50,54,50,
568,9,,33,40
569,40,7,26,
570,29,50,57,
571,17,,10,43
572,62,97,,65
573,19,,93,6
574,,5,68,66
575,40,,80,71
576,,40,24,87
577,52,,22,41
578,6,78,51,
579,39,,24,31
580,20,18,35,
581,96,84,88,
582,,96,91,44
583,82,22,,98
584,31,50,18,
585,78,7,,11
586,,63,74,57
587,58,38,41,
588,,86,64,34
589,81,,42,52
590,70,3,40,
591,91,76,39,
592,85,25,,0
593,34,,65,43
594,37,89,,87
595,,42,68,52
596,71,93,1,
597,23,,87,88
598,89,69,22,
599,80,,95,64
600,67,97,,31
601,,70,52,64
602,8,,24,70
603,75,,68,62
604,71,25,,51
605,42,,5,37
606,4,,62,42
607,12,,16,57
608,69,,13,11
609,86,39,,0
610,,24,27,30
611,88,92,,24
612,94,,52,32
613,62,61,99,
614,86,47,,8
615,3,,52,78
616,,60,59,81
617,59,83,88,
618,,88,99,65
619,76,,84,7
620,,86,44,79
621,32,33,,77
622,1,3,,39
623,,62,62,27
624,58,,98,47
625,25,,80,73
626,25,64,,15
627,,80,7,23
628,40,,38,37
629,,68,98,86
630,60,49,,30
631,97,,91,71
632,77,,89,37
633,31,49,,47
634,,53,8,18
635,84,25,39,
636,,93,2,50
637,81,,97,3
638,26,53,88,
639,63,,94,57
640,,65,82,71
641,43,69,58,
642,40,19,,34
643,85,,88,94
644,,65,0,88
645,47,4,,64
646,36,,60,50
647,55,,84,68
648,,5,61,78
649,,22,79,83
650,76,61,,39
651,32,,57,30
652,84,20,,58
653,,69,74,88
654,75,,21,70
655,65,,52,13
656,79,43,85,
657,67,,93,9
658,54,,88,55
659,55,56,49,
660,20,37,,53
661,61,83,,40
662,67,,37,3
663,84,38,,94
664,33,89,41,
665,,22,66,57
666,27,,58,28
667,60,,99,47
668,33,25,,74
669,72,,81,89
670,7,51,,29
671,,39,41,20
672,33,10,,76
673,47,2,96,
674,88,,53,69
675,,19,0,17
676,87,84,,58
677,36,12,44,
678,79,37,,24
679,45,52,84,
680,60,,7,23
681,20,69,7,
682,,36,9,69
683,25,33,,84
684,64,33,,83
685,73,,2,16
686,87,,61,58
687,25,,42,80
688,17,40,,60
689,,81,41,38
690,76,70,,24
691,,33,78,69
692,9,,37,11
693,25,16,,83
694,,61,23,50
695,9,,42,41
696,26,42,62,
697,,11,71,91
698,32,,30,86
699,29,32,66,
700,22,47,,40
701,24,14,2,
702,67,,33,42
703,36,0,,24
704,50,38,55,
705,12,15,,26
706,23,56,93,
707,,16,82,45
708,33,3,58,
709,71,57,,20
710,88,66,,60
711,10,51,98,
712,88,,0,70
713,13,25,91,
714,47,,69,23
715,51,,54,24
716,77,21,13,
717,66,41,1,
718,58,,52,0
719,57,,14,7
720,48,,73,49
721,4,16,,16
722,63,16,67,
723,,54,2,32
724,,57,70,85
725,28,22,27,
726,49,,4,4
727,,95,66,89
728,94,75,,74
729,66,75,,76
730,84,9,,35
731,51,6,,31
732,27,,10,48
733,,72,89,79
734,26,69,,82
735,,64,36,32
736,37,82,,77
737,83,,66,40
738,0,38,,64
739,9,62,,49
740,3,5,81,
741,18,45,,75
742,64,38,41,
743,,17,44,18
744,63,6,79,
745,,54,60,39
746,,0,37,36
747,7,45,,11
748,4,70,,38
749,40,62,,70
750,80,,34,80
751,96,,28,32
752,49,,8,21
753,50,24,16,
754,85,10,,32
755,8,59,70,
756,90,91,45,
757,89,20,84,
758,77,,34,4
759,48,78,24,
760,65,43,77,
761,,97,76,16
762,57,,5,97
763,95,8,,33
764,54,,64,32
765,,95,2,27
766,80,87,66,
767,,71,45,20
768,64,7,89,
769,24,65,,99
770,62,,94,34
771,92,98,21,
772,87,17,69,
773,,3,89,21
774,59,6,,61
775,83,22,,23
776,,85,76,22
777,60,10,78,
778,,57,41,69
779,39,,74,61
780,90,,26,83
781,46,16,,1
782,,83,78,9
783,63,63,,60
784,35,99,8,
785,90,56,45,
786,77,61,89,
787,44,52,14,
788,13,,58,6
789,,72,51,14
790,28,,29,95
791,94,,8,66
792,56,79,56,
793,56,92,,98
794,37,42,88,
795,5,14,56,
796,98,11,16,
797,31,,76,58
798,59,,64,61
799,98,64,57,
800,,16,4,3
801,5,,94,50
802,42,84,48,
803,45,15,,92
804,91,55,,59
805,55,33,,11
806,91,34,88,
807,13,7,24,
808,65,99,,82
809,40,55,65,
810,27,,15,15
811,41,77,6,
812,96,92,,56
813,52,6,78,
814,31,6,33,
815,,58,46,26
816,51,,32,60
817,46,,95,7
818,,49,39,65
819,5,,27,38
820,,45,23,12
821,9,29,,29
822,13,87,,24
823,9,68,37,
824,56,75,,86
825,60,,24,52
826,53,98,,46
827,33,,13,97
828,71,12,,73
829,46,,29,12
830,55,,48,35
831,34,,58,60
832,,1,17,43
833,,55,9,55
834,16,67,41,
835,86,,47,84
836,,88,97,58
837,84,,85,36
838,,12,26,2
839,,22,46,83
840,18,,34,95
841,,67,0,27
842,48,86,,3
843,96,11,88,
844,,28,40,73
845,2,,78,59
846,,10,4,73
847,90,8,37,
848,98,91,,58
849,58,49,,19
850,35,,36,74
851,49,,18,4
852,88,79,,49
853,,94,13,51
854,,16,55,75
855,61,98,17,
856,,70,24,93
857,93,66,75,
858,46,40,81,
859,39,,9,26
860,20,,57,68
861,66,52,39,
862,83,,63,7
863,31,,96,68
864,27,24,,55
865,8,44,53,
866,90,,38,27
867,98,43,,76
868,8,,40,32
869,64,81,,76
870,,16,75,79
871,92,,51,64
872,92,,36,60
873,18,,81,25
874,40,,25,4
875,10,97,86,
876,,97,82,35
877,84,,5,58
878,99,,47,77
879,,30,11,8
880,26,,95,90
881,,50,19,55
882,31,70,51,
883,37,11,79,
884,44,53,,4
885,,99,17,25
886,54,,76,0
887,96,,70,99
888,41,83,99,
889,,93,87,25
890,84,44,,72
891,38,,86,50
892,,15,4,75
893,26,75,,26
894,76,28,0,
895,,69,57,13
896,22,,88,61
897,90,62,,5
898,82,44,92,
899,67,23,9,
900,51,5,90,
901,33,1,63,
902,96,84,61,
903,91,76,31,
904,91,,58,3
905,84,10,51,
906,73,69,,13
907,60,81,,58
908,45,25,,3
909,64,78,,14
910,,87,70,15
911,,5,54,0
912,71,61,,81
913,32,58,29,
914,31,,79,75
915,,31,18,86
916,71,99,62,
917,,19,69,49
918,,64,1,50
919,53,60,,58
920,78,57,,18
921,,41,6,43
922,,32,75,87
923,24,,50,8
924,83,,2,28
925,38,46,,43
926,97,,13,45
927,,33,10,87
928,77,30,,64
929,71,,67,0
930,,95,8,67
931,,11,23,20
932,1,70,,68
933,42,,99,22
934,30,38,75,
935,52,,98,67
936,64,6,33,
937,29,85,14,
938,52,,86,91
939,67,94,,46
940,87,24,13,
941,32,,32,25
942,73,,17,23
943,,35,35,34
944,84,69,20,
945,6,8,0,
946,61,89,71,
947,73,6,93,
948,69,36,,29
949,19,47,22,
950,67,7,,56
951,,93,84,72
952,18,22,22,
953,,85,46,39
954,56,,34,60
955,,98,80,13
956,28,,59,13
957,33,,26,77
958,57,74,87,
959,,85,91,55
960,85,95,,82
961,91,90,23,
962,,71,13,20
963,94,35,74,
964,35,69,37,
965,22,,33,18
966,0,31,30,
967,45,2,,21
968,,18,80,99
969,12,,72,90
970,,60,99,9
971,,31,49,63
972,,47,0,45
973,,54,84,92
974,38,36,,30
975,33,99,26,
976,46,18,88,
977,88,78,,92
978,41,,19,2
979,,42,49,29
980,,65,21,81
981,,89,78,86
982,79,,82,11
983,54,,24,69
984,,6,61,41
985,60,47,,12
986,12,45,,37
987,,82,73,72
988,,53,40,8
989,0,32,,12
990,,20,15,23
991,,62,54,81
992,87,9,98,
993,96,70,,91
994,35,83,38,
995,65,,33,97
996,33,3,,86
997,50,33,3,
998,77,34,79,
999,43,97,30,
1000,,41,28,9
