School Name,1G Students,2G Students,3G Students,4G Students,5G Students,6G Students,Teachers
ES1,64,48,84,78,24,38,15
ES2,58,62,82,73,42,63,15
ES3,64,79,99,49,80,73,23
ES4,60,96,48,69,47,26,18
ES5,56,71,69,32,33,100,22
ES6,86,41,56,70,57,60,16
ES7,90,100,93,53,43,76,18
ES8,87,54,40,29,33,72,13
ES9,26,24,72,69,62,70,19
ES10,21,68,72,76,49,84,24
ES11,89,53,49,74,66,70,25
ES12,22,98,74,83,74,37,18
ES13,62,43,24,90,94,85,22
ES14,84,39,66,32,25,85,19
ES15,99,95,74,51,20,70,22
ES16,27,57,59,55,78,40,18
ES17,54,71,26,26,81,54,15
ES18,63,69,85,92,28,59,16
ES19,75,38,49,53,53,44,13
ES20,28,92,61,36,31,66,13
ES21,55,83,67,32,21,78,13
ES22,42,97,53,83,69,41,17
ES23,92,26,34,74,32,97,20
ES24,87,73,48,86,95,30,17
ES25,27,80,54,57,93,73,18
ES26,77,60,33,75,44,32,16
ES27,26,67,32,34,92,63,13
ES28,84,79,59,56,95,69,18
ES29,58,80,45,64,28,51,14
ES30,86,83,34,68,23,90,19
ES31,22,30,98,73,68,68,14
ES32,97,79,36,55,73,49,24
ES33,68,85,38,23,90,53,16
ES34,72,100,28,23,97,95,23
ES35,28,46,23,85,90,27,15
ES36,25,32,29,88,82,95,15
ES37,69,22,54,43,24,33,12
ES38,29,51,33,32,70,51,10
ES39,90,95,50,69,92,79,29
ES40,97,24,39,45,87,67,16
ES41,36,45,86,73,71,45,19
ES42,99,57,86,94,73,98,31
ES43,59,47,41,36,41,74,16
ES44,94,56,65,27,100,50,24
ES45,81,32,45,68,30,75,19
ES46,93,65,88,33,71,38,18
ES47,54,79,83,100,58,65,17
ES48,99,39,60,31,43,29,12
ES49,41,64,76,89,86,88,18
ES50,51,31,48,49,23,25,10
ES51,80,67,94,27,21,25,12
ES52,35,60,83,75,61,91,19
ES53,83,94,33,88,29,99,26
ES54,57,37,94,90,28,20,21
ES55,75,58,50,62,98,93,25
ES56,41,46,29,41,42,93,12
ES57,70,64,84,99,59,29,19
ES58,58,84,38,29,47,42,11
ES59,57,63,92,82,21,94,21
ES60,21,50,58,77,20,63,15
ES61,54,20,58,76,90,82,18
ES62,24,87,87,38,95,20,17
ES63,63,30,66,61,66,87,16
ES64,32,49,75,47,50,28,12
ES65,27,72,83,83,99,91,20
ES66,85,49,65,90,81,22,17
ES67,93,61,53,38,40,41,13
ES68,44,81,22,83,94,29,16
ES69,26,20,68,82,40,37,16
ES70,64,65,54,89,22,67,17
ES71,84,52,78,94,26,43,22
ES72,62,20,45,90,87,40,14
ES73,35,20,62,33,60,90,20
ES74,99,54,50,88,90,83,29
ES75,88,46,69,66,83,67,19
ES76,100,82,98,70,40,36,17
ES77,46,77,40,77,86,63,16
ES78,72,90,79,63,87,20,17
ES79,73,100,70,38,70,21,16
ES80,61,74,79,52,68,81,25
ES81,47,47,89,23,83,67,22
ES82,88,35,32,64,84,53,14
ES83,77,77,72,69,35,65,26
ES84,23,71,88,96,68,94,20
ES85,46,42,55,52,73,76,13
ES86,63,28,82,98,55,98,19
ES87,38,66,21,24,61,35,9
ES88,36,30,93,38,60,84,15
ES89,41,97,22,49,49,100,14
ES90,45,47,49,28,65,85,14
ES91,83,36,40,84,66,74,15
ES92,32,46,32,52,59,93,15
ES93,23,83,96,87,72,99,25
ES94,82,25,74,22,86,69,18
ES95,94,91,71,47,100,88,28
ES96,90,35,83,27,80,38,16
ES97,78,68,50,81,97,59,25
ES98,95,22,31,35,41,54,18
ES99,45,24,97,98,66,81,21
ES100,85,77,89,67,81,70,31
ES101,66,40,22,63,28,27,10
ES102,93,97,37,70,55,86,21
ES103,91,78,20,79,57,52,20
ES104,58,42,75,86,23,62,15
ES105,42,81,61,69,26,97,19
ES106,95,45,39,24,36,71,19
ES107,60,88,41,56,25,41,13
ES108,54,34,34,37,77,68,15
ES109,46,36,85,34,36,47,15
ES110,70,89,29,29,37,34,12
ES111,62,81,44,84,55,98,24
ES112,56,67,30,42,65,43,15
ES113,61,97,89,42,66,75,21
ES114,74,42,58,81,90,28,19
ES115,100,49,72,35,55,43,16
ES116,45,48,29,86,41,89,16
ES117,27,84,65,50,89,82,17
ES118,42,64,84,70,84,69,25
ES119,57,82,49,29,61,56,15
ES120,60,94,39,33,82,46,15
ES121,70,39,77,72,22,95,25
ES122,21,26,24,70,57,42,9
ES123,93,43,88,94,72,52,29
ES124,56,83,94,32,35,48,21
ES125,34,56,99,33,31,75,18
ES126,73,83,63,43,70,47,15
ES127,94,73,68,61,24,74,24
ES128,34,57,20,20,71,40,12
ES129,77,22,75,94,72,33,19
ES130,99,82,58,63,33,62,26
ES131,73,65,94,47,71,74,28
ES132,70,72,28,33,41,64,19
ES133,95,85,53,82,20,37,21
ES134,67,59,22,84,93,80,17
ES135,67,81,67,83,27,49,18
ES136,28,70,96,85,28,64,15
ES137,53,47,34,78,62,74,23
ES138,85,83,72,25,49,24,21
ES139,90,70,86,39,66,48,23
ES140,72,40,55,41,52,43,14
ES141,49,41,33,22,96,22,13
ES142,81,66,65,55,57,75,18
ES143,54,88,23,70,49,60,19
ES144,26,21,93,67,69,61,19
ES145,71,98,34,98,61,32,18
ES146,22,66,47,71,31,74,13
ES147,90,48,23,73,57,47,18
ES148,20,77,20,95,28,83,14
ES149,60,41,26,39,58,74,16
ES150,97,49,26,79,60,82,16
ES151,38,65,89,55,49,52,21
ES152,71,55,43,89,36,32,15
ES153,74,39,75,45,68,45,16
ES154,28,47,45,87,95,50,14
ES155,82,98,86,91,33,44,27
ES156,46,37,48,68,66,30,15
ES157,55,89,64,86,71,22,24
ES158,91,54,40,48,79,26,14
ES159,37,92,92,65,45,23,16
ES160,58,67,29,34,72,45,13
ES161,45,20,77,29,85,34,12
ES162,79,88,42,98,42,32,20
ES163,55,31,34,36,39,45,10
ES164,70,91,38,87,21,32,21
ES165,81,70,100,61,76,90,28
ES166,29,80,93,89,43,36,21
ES167,20,73,75,20,98,93,16
ES168,77,89,47,87,68,75,26
ES169,64,39,74,72,22,58,14
ES170,43,33,41,78,57,93,17
ES171,77,52,44,90,69,37,17
ES172,30,55,85,25,93,93,15
ES173,71,34,50,70,51,57,13
ES174,45,43,55,30,42,48,13
ES175,53,75,48,55,94,70,16
ES176,50,83,69,97,94,44,17
ES177,46,64,72,84,99,26,21
ES178,88,90,57,30,62,31,16
ES179,53,54,80,39,63,68,14
ES180,98,20,55,51,82,66,18
ES181,45,59,24,70,72,85,17
ES182,88,82,40,41,88,61,20
ES183,83,85,43,48,56,29,19
ES184,61,27,69,64,57,74,19
ES185,37,98,25,64,53,84,14
ES186,48,31,46,69,57,49,13
ES187,78,60,33,75,28,33,13
ES188,52,77,33,22,64,85,22
ES189,90,37,92,26,56,73,22
ES190,40,90,97,72,41,24,15
ES191,89,69,52,34,86,64,21
ES192,59,58,39,25,98,35,14
ES193,62,95,75,40,53,30,16
ES194,28,91,68,52,60,48,15
ES195,93,49,40,86,89,39,18
ES196,44,32,75,98,83,75,20
ES197,41,52,35,77,82,91,22
ES198,99,36,62,58,82,51,19
ES199,82,82,71,76,85,20,24
ES200,50,36,70,45,97,32,15
ES201,24,45,44,56,43,44,12
ES202,30,98,48,31,48,57,19
ES203,21,40,69,71,84,55,17
ES204,54,89,58,80,66,39,19
ES205,28,86,42,64,57,23,15
ES206,30,84,56,31,55,87,20
ES207,52,87,47,60,83,77,25
ES208,62,61,100,99,71,91,23
ES209,94,28,65,71,66,76,16
ES210,29,41,75,62,55,31,14
ES211,91,51,73,80,96,73,29
ES212,64,72,64,97,93,100,30
ES213,22,60,68,90,69,78,20
ES214,95,78,79,43,54,91,22
ES215,43,89,65,71,61,79,25
ES216,76,33,58,45,94,64,14
ES217,31,68,27,49,64,38,16
ES218,39,28,39,90,91,66,14
ES219,37,55,76,37,46,33,17
ES220,35,23,55,21,29,20,7
ES221,54,44,31,51,35,87,15
ES222,94,50,94,26,81,24,23
ES223,82,32,76,74,66,58,16
ES224,77,20,21,37,84,30,15
ES225,73,40,82,71,94,88,26
ES226,81,26,84,26,76,72,15
ES227,87,41,44,88,73,81,23
ES228,94,56,32,66,23,84,18
ES229,35,61,59,35,73,24,15
ES230,90,92,44,88,62,28,20
ES231,92,38,76,34,35,43,12
ES232,59,34,72,36,88,50,14
ES233,86,95,65,58,92,31,28
ES234,26,20,82,56,39,73,12
ES235,85,37,23,100,100,42,25
ES236,53,87,25,29,86,41,21
ES237,33,84,46,48,82,23,12
ES238,39,90,77,34,70,61,17
ES239,80,71,65,42,70,29,17
ES240,68,38,26,80,73,20,16
ES241,99,27,21,85,78,71,22
ES242,81,95,61,59,98,98,19
ES243,45,79,32,47,71,56,17
ES244,66,21,37,68,35,89,15
ES245,88,35,27,79,24,85,14
ES246,98,26,64,77,96,93,23
ES247,66,60,63,28,31,43,16
ES248,65,50,41,44,62,80,22
ES249,77,52,61,28,30,81,14
ES250,37,72,38,50,67,83,19
ES251,100,68,25,68,75,65,18
ES252,82,58,66,32,80,74,20
ES253,83,33,46,47,84,80,14
ES254,84,27,96,76,29,73,20
ES255,73,20,24,45,64,50,11
ES256,99,27,56,76,42,28,14
ES257,20,84,43,26,47,20,11
ES258,89,84,53,96,100,97,20
ES259,84,79,68,49,86,65,21
ES260,29,30,69,64,81,25,14
ES261,74,48,56,45,47,65,18
ES262,97,60,83,68,62,78,24
ES263,30,24,98,23,90,75,16
ES264,91,43,66,68,91,98,28
ES265,96,21,51,92,84,37,15
ES266,95,44,36,49,49,91,18
ES267,98,52,23,95,21,69,14
ES268,99,75,56,69,93,90,20
ES269,91,24,47,37,38,72,17
ES270,90,53,61,43,51,51,17
ES271,84,100,83,57,58,74,25
ES272,77,62,29,92,78,42,20
ES273,54,31,57,36,48,64,12
ES274,27,67,40,73,35,24,12
ES275,28,89,21,25,89,66,17
ES276,60,26,92,73,67,55,19
ES277,44,51,98,55,86,93,23
ES278,24,69,66,34,72,97,20
ES279,29,81,64,98,92,80,18
ES280,66,99,21,40,55,68,23
ES281,78,81,77,35,83,40,26
ES282,55,85,93,53,64,48,22
ES283,47,25,91,25,65,74,20
ES284,72,58,76,50,43,31,22
ES285,35,79,99,82,39,83,19
ES286,20,73,51,70,28,72,16
ES287,88,72,42,75,66,35,25
ES288,46,69,94,38,50,38,15
ES289,20,24,45,44,24,98,14
ES290,29,66,83,78,63,68,21
ES291,90,67,44,36,79,57,19
ES292,100,71,71,45,62,76,28
ES293,71,23,73,74,74,67,17
ES294,97,41,90,20,84,40,21
ES295,39,91,100,76,61,93,25
ES296,83,49,87,69,47,66,19
ES297,22,35,22,82,73,88,21
ES298,39,22,39,49,30,44,12
ES299,53,43,53,35,86,80,15
ES300,96,66,30,52,99,86,18
